condition,target,median_relative_effect,controller_gate_passed,classification
FIXED,T1,0.0,False,EXPLORATORY_TARGET
FIXED,T2,-0.10605600064483374,False,EXPLORATORY_TARGET
FIXED,T3,0.05660377358490566,False,EXPLORATORY_TARGET
FIXED,T4,0.0,False,EXPLORATORY_TARGET
FIXED,T5,0.010041275891645617,False,EXPLORATORY_TARGET
FIXED,T6,0.18988106014243933,False,EXPLORATORY_TARGET
FIXED,T7,-0.014726835449486041,False,EXPLORATORY_TARGET
FIXED,T8_MVP_cortical_state_crossing_rate,0.08695652173913043,False,SAFETY_PROXY_ONLY — NOT a validated dynamical-regime-transition metric
PLL_PHASE_LOCKED,T1,0.0,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T2,-0.0029321385278729805,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T3,0.0,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T4,0.0,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T5,0.005399051182650087,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T6,0.028459341759617347,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T7,-0.0037993297019070036,False,EXPLORATORY_TARGET
PLL_PHASE_LOCKED,T8_MVP_cortical_state_crossing_rate,0.0,False,SAFETY_PROXY_ONLY — NOT a validated dynamical-regime-transition metric
PV_PHASE_LOCKED,T1,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T2,-0.010655247806511505,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T3,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T4,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T5,0.0036139131129594585,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T6,0.020412194526199523,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T7,-0.0035503205739401875,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED,T8_MVP_cortical_state_crossing_rate,0.0,False,SAFETY_PROXY_ONLY — NOT a validated dynamical-regime-transition metric
PV_PHASE_LOCKED_ADAPTIVE,T1,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T2,-0.010184086876396136,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T3,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T4,0.0,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T5,0.0028419828406094244,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T6,0.02038463648773405,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T7,-0.0032420631099007737,False,EXPLORATORY_TARGET
PV_PHASE_LOCKED_ADAPTIVE,T8_MVP_cortical_state_crossing_rate,0.0,False,SAFETY_PROXY_ONLY — NOT a validated dynamical-regime-transition metric
PV_PHASE_SHIFTED_YOKED,T1,0.0,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T2,-0.00192669097176371,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T3,0.0,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T4,0.0,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T5,-0.011946401986881036,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T6,0.005002605135936664,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T7,0.0003748452808585908,False,EXPLORATORY_TARGET
PV_PHASE_SHIFTED_YOKED,T8_MVP_cortical_state_crossing_rate,0.0,False,SAFETY_PROXY_ONLY — NOT a validated dynamical-regime-transition metric
