seed,condition,stable,R,dT2,dT5,dT6,pulse_count,saturation_fraction,command_range,control_energy,realized_pulse_phase_rad,T1,T2,T3,T4,T5,T6,T7,T8_MVP_cortical_state_crossing_rate
77131,SHAM,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.75,8.479222660267437,53.0,0.0,0.8882377028129516,0.3459105457230002,2.9852051323487987,65.0
77131,FIXED,True,0.005417898251831886,-0.10343955642169081,0.010041275891645617,0.21850942995906356,0,0.0,0.0,0.0735,nan,0.75,7.602135629488624,56.0,0.0,0.8971567426442579,0.42149526188576153,-3.1334490592085684,67.0
77131,PLL_PHASE_LOCKED,True,0.00690371136627008,-0.0029321385278729805,0.023162538691347608,0.010316583829478674,32,0.0,0.035,0.004312000000000002,2.9480812433665693,0.75,8.454360404818853,53.0,0.0,0.9088115429714703,0.3494791608654522,2.9738633538231807,65.0
77131,PV_PHASE_LOCKED,True,-0.02184245741449357,-0.010655247806511505,-0.009150790811829618,-0.05690854323312165,28,0.0,0.035,0.003773000000000001,-2.633382531848233,0.75,8.3888744416157,54.0,0.0,0.8801096254033302,0.3262252804769301,3.0080566253938668,65.0
77131,PV_PHASE_LOCKED_ADAPTIVE,True,-0.021622941977855983,-0.010184086876396136,-0.009736038577905056,-0.05638755558072661,28,0.0,0.035,0.0034649802933969243,-2.681054353915056,0.75,8.392869520050967,54.0,0.0,0.8795897862720149,0.326405495600085,3.0084491242708773,65.0
77131,PV_PHASE_SHIFTED_YOKED,True,-0.0019807373243199474,-0.0024044614955348364,-0.02214087191671555,0.01902684561050543,28,0.0,0.035,0.0034649802933969243,0.8338252728493634,0.75,8.458834695868758,53.0,0.0,0.8685713456033723,0.3524921322715174,3.0109852304252893,63.0
88141,SHAM,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.75,8.312862508629308,54.0,0.0,1.0893879881578257,0.278545270821001,-1.3832774190060377,63.0
88141,FIXED,True,-0.03359727716687952,-0.10605600064483374,-0.11215816752028993,0.18988106014243933,0,0.0,0.0,0.0735,nan,0.75,7.431233557053704,58.0,0.0,0.9672042276874286,0.33143574214215554,-1.4036487179367294,69.0
88141,PLL_PHASE_LOCKED,True,0.0026182876229168817,-0.0004939350877716846,-0.01736478452537375,0.028825805192584646,32,0.0,0.035,0.004312000000000002,2.9678643279874897,0.75,8.308756494156475,54.0,0.0,1.0704710004789346,0.2865745625350029,-1.3924042247685038,63.0
88141,PV_PHASE_LOCKED,True,0.0049876845730397875,-0.004420663957716833,0.008379871681393293,0.020412194526199523,25,0.0,0.035,0.003368750000000001,2.9796904716880297,0.75,8.276114136951955,54.0,0.0,1.0985169197098394,0.2842309910733522,-1.3903466967233409,63.0
88141,PV_PHASE_LOCKED_ADAPTIVE,True,0.005001113142212446,-0.00438370266784347,0.008387221416802676,0.02038463648773405,25,0.0,0.035,0.0033541986091346746,2.9799108792265,0.75,8.276421391072814,54.0,0.0,1.0985249264233106,0.28422331491206454,-1.390314257920894,63.0
88141,PV_PHASE_SHIFTED_YOKED,True,-0.0013685563704731178,0.0010232445814119832,-0.011946401986881036,0.004425687342164598,25,0.0,0.035,0.0033541986091346746,0.5625056331777648,0.75,8.321368600147286,54.0,0.0,1.0763737213316127,0.2797780251002933,-1.3831744835234208,63.0
99149,SHAM,True,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,0.75,8.465755507180853,53.0,0.0,0.810432020934468,0.36161361393310065,-2.9427419298088013,69.0
99149,FIXED,True,-0.054198996751500784,-0.15853629277840553,0.04946977525903649,0.05080682329177142,0,0.0,0.0,0.0735,nan,0.75,7.123626013504031,56.0,0.0,0.8505239108728229,0.37998605291609855,-2.738508980827357,75.0
99149,PLL_PHASE_LOCKED,True,0.002480320039138481,-0.011968556392856756,0.005399051182650087,0.028459341759617347,31,0.0,0.035,0.004177250000000001,2.9346771793398982,0.75,8.364432634985022,53.0,0.0,0.8148075848955517,0.3719048993569531,-2.9037692979312,67.0
99149,PV_PHASE_LOCKED,True,-0.010975994536963761,-0.04219678225309449,0.0036139131129594585,0.03687567324537448,28,0.0,0.035,0.003773000000000001,-3.0270531018805067,0.75,8.108527865436407,53.0,0.0,0.8133608518420853,0.37494835940157667,-2.953189607025998,67.0
99149,PV_PHASE_LOCKED_ADAPTIVE,True,-0.01031994404770819,-0.04048083855545001,0.0028419828406094244,0.036839918079457835,28,0.0,0.035,0.0036089490386993256,-3.050601217104577,0.75,8.123054625244754,53.0,0.0,0.8127352548314442,0.3749354298468128,-2.9522824848613927,67.0
99149,PV_PHASE_SHIFTED_YOKED,True,0.0009313427842385578,-0.00192669097176371,0.0025761479445449873,0.005002605135936664,28,0.0,0.035,0.003608949038699326,0.375635153415131,0.75,8.44944461247601,53.0,0.0,0.8125198137193917,0.363422624055387,-2.941638856883628,69.0
