track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256,holm_reject_pit_ks
8d,32768,ensemble,mue,1024,1000,0.5206941496003996,0.10061773208464311,0.0771484375,0.087890625,0.07157783622627367,5.237741906063496e-05,0.423828125,0.703125,0.8349609375,0.908203125,-0.01726505517035548,0.14753850079250697,0.14914737801154843,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,ensemble,mui,1024,1000,0.5896379011613386,0.03549759783400535,0.0087890625,0.0087890625,0.2524594546078921,5.235034647431306e-58,0.736328125,0.9501953125,0.982421875,0.9931640625,-0.002452919764436956,0.006101153564486594,0.01713505760062617,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,ensemble,tauA,1024,1000,0.5246843000749251,0.10026761209114185,0.0751953125,0.0927734375,0.07219440715534464,4.364710225526788e-05,0.419921875,0.71484375,0.83203125,0.90234375,-0.019171072945027845,0.18825852038207813,0.19180752861393557,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_1,mue,1024,1000,0.5203917176573426,0.10363012984414448,0.0791015625,0.0927734375,0.0855862887112887,5.647349870452476e-07,0.4072265625,0.69921875,0.828125,0.904296875,-0.016634085523037356,0.14772021449425665,0.14595845350231684,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_1,mui,1024,1000,0.6744525006243756,0.04515400021418701,0.0107421875,0.044921875,0.307943033528971,1.0248449691112907e-86,0.5166015625,0.8583984375,0.9443359375,0.9755859375,-0.0050728605251606496,0.008349082136646757,0.018385189681339398,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_1,tauA,1024,1000,0.5252111170079921,0.10256464966933886,0.0751953125,0.095703125,0.07803134365634368,7.1870543162326936e-06,0.408203125,0.703125,0.8291015625,0.890625,-0.022252802777074976,0.18902257946683676,0.1887115189801989,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_2,mue,1024,1000,0.5168464348151849,0.10098689185635047,0.0810546875,0.087890625,0.0714880822302697,5.377925671441029e-05,0.4228515625,0.6953125,0.8310546875,0.904296875,-0.013236332682936336,0.14735216959707031,0.148818529502023,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_2,mui,1024,1000,0.6584792160964036,0.044431171998009826,0.009765625,0.04296875,0.296224283528971,3.854979352410479e-80,0.5712890625,0.8662109375,0.947265625,0.9755859375,-0.004185595915714657,0.0069082897748558025,0.013170627562885784,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_2,tauA,1024,1000,0.5220258257367633,0.10089265012701124,0.080078125,0.0859375,0.0752031171953047,1.752934866197987e-05,0.412109375,0.7119140625,0.833984375,0.89453125,-0.016583855123826652,0.18687651799154992,0.18960320827136457,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_3,mue,1024,1000,0.5127236045204795,0.0980588329639915,0.078125,0.0859375,0.05363971965534464,0.005312570930341263,0.4462890625,0.7158203125,0.8359375,0.908203125,-0.007780678153721965,0.14629571464502078,0.15156429246417247,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_3,mui,1024,1000,0.6544002872127872,0.04805282863350163,0.0087890625,0.046875,0.283596286525974,2.301461173571775e-73,0.546875,0.8720703125,0.9443359375,0.98046875,-0.0031546209497719246,0.005638827491111442,0.010799054411791076,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_3,tauA,1024,1000,0.5201078218656343,0.098033317483437,0.07421875,0.09375,0.06832230269730266,0.0001336534934018693,0.431640625,0.7275390625,0.83203125,0.900390625,-0.005750839616666781,0.1867957034301071,0.1942215531889815,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_4,mue,1024,1000,0.5315212131618382,0.10492650848110775,0.083984375,0.1015625,0.09519484421828173,1.5802545252922986e-08,0.40625,0.6845703125,0.814453125,0.890625,-0.025384122014656896,0.1487406009764527,0.14428572343786072,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_4,mui,1024,1000,0.6612411026473527,0.04491028138362292,0.0107421875,0.0498046875,0.29614526098901095,4.260094516299401e-80,0.5595703125,0.8662109375,0.939453125,0.9765625,-0.0049823727958937525,0.009000035941426177,0.020166889219581208,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_4,tauA,1024,1000,0.5298666177572429,0.10448616953579871,0.0859375,0.103515625,0.08628188218031974,4.415519444802714e-07,0.4140625,0.68359375,0.810546875,0.880859375,-0.02877621489824378,0.18996959092692123,0.18619505274182302,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_5,mue,1024,1000,0.5220307036713288,0.09983238120417794,0.076171875,0.0859375,0.06632430069930073,0.00023241944689091824,0.4228515625,0.7001953125,0.837890625,0.9111328125,-0.020583544946930488,0.14842487862733833,0.1504949529971782,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_5,mui,1024,1000,0.301432942057942,0.04244965233170576,0.07421875,0.0009765625,0.346174333479021,3.964462492657772e-110,0.4697265625,0.8408203125,0.9248046875,0.96484375,0.00659836570139305,0.009015393637128,0.016604413297500287,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
8d,32768,member_5,tauA,1024,1000,0.5258715893481518,0.09893348886239185,0.0703125,0.09375,0.0699612887112887,8.385553387391645e-05,0.4267578125,0.72265625,0.8359375,0.8994140625,-0.021037336948211305,0.19045258018013556,0.19473349001600582,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6,True
7d,32768,ensemble,mue,1024,1000,0.5188990696803197,0.10098691356267175,0.0810546875,0.091796875,0.07666259521728269,1.1110609412724179e-05,0.41015625,0.7109375,0.8271484375,0.8955078125,-0.012003930502032745,0.146295703105352,0.1481581253137847,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,ensemble,mui,1024,1000,0.46075506524725274,0.03836356910595207,0.01171875,0.001953125,0.18439275568181823,6.020373642274162e-31,0.7841796875,0.9521484375,0.986328125,0.9931640625,0.0012246498590684496,0.004841848877731536,0.013831179019234696,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,ensemble,tauA,1024,1000,0.5204239120254746,0.10094884674100306,0.0791015625,0.08984375,0.07035445023726272,7.48605601325765e-05,0.4130859375,0.7099609375,0.8310546875,0.904296875,-0.011323468090267852,0.18624820168770384,0.19028858820456662,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_1,mue,1024,1000,0.5221058238636364,0.09875586579915459,0.0771484375,0.087890625,0.06916423420329665,0.00010533797951640279,0.431640625,0.7177734375,0.8349609375,0.904296875,-0.01438276244334702,0.14783905606418557,0.1514751299873751,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_1,mui,1024,1000,0.6323920220404595,0.047799779220127,0.0087890625,0.0390625,0.25764469905094906,1.9656804286928608e-60,0.5986328125,0.873046875,0.9521484375,0.9853515625,-0.0034116145084226446,0.005936753424521157,0.011441969018733289,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_1,tauA,1024,1000,0.5208268294205795,0.09885839182069894,0.0732421875,0.0888671875,0.06658283123126874,0.00021656201934096585,0.4287109375,0.72265625,0.837890625,0.9013671875,-0.009412276289367583,0.1884697215646156,0.19436230538667587,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_2,mue,1024,1000,0.5085061422952049,0.0994768039829461,0.0830078125,0.08984375,0.0558630822302697,0.003220114068090584,0.427734375,0.7216796875,0.8271484375,0.9013671875,-0.0005719011478504399,0.1452203418211866,0.15060490836913232,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_2,mui,1024,1000,0.3320810049325674,0.04764026836713074,0.0751953125,0.0029296875,0.2832597090409591,3.453377096884704e-73,0.5537109375,0.822265625,0.921875,0.9609375,0.003566714175121888,0.005257984230865986,0.00924161905800247,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_2,tauA,1024,1000,0.5156084150224776,0.0993728540871275,0.078125,0.0927734375,0.059993717220279685,0.0012035856699188566,0.4306640625,0.720703125,0.8291015625,0.8994140625,-0.004946984288835665,0.18556610059386003,0.19298577324116195,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_3,mue,1024,1000,0.5254208681943057,0.10504889300663668,0.0830078125,0.09765625,0.09080567869630374,8.487594696769103e-08,0.38671875,0.693359375,0.8193359375,0.8916015625,-0.017078186387152527,0.14702428553391655,0.1435381525698176,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_3,mui,1024,1000,0.3301200752372627,0.04780022707305685,0.0830078125,0.0029296875,0.304530430506993,8.998738827027428e-85,0.5322265625,0.8369140625,0.9140625,0.953125,0.004323495244989317,0.0062763339988123334,0.012093430274944694,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_3,tauA,1024,1000,0.5193683269855145,0.10375822445070496,0.08203125,0.091796875,0.07845865072427571,6.263267768134832e-06,0.404296875,0.69921875,0.826171875,0.8994140625,-0.012573280662763864,0.18641902523086173,0.1858326319106709,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_4,mue,1024,1000,0.5224453281093906,0.10462138080520374,0.0869140625,0.099609375,0.0845424107142857,8.139230936147373e-07,0.4033203125,0.693359375,0.8134765625,0.88671875,-0.015584535040034098,0.14724604803450347,0.1444194884661556,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_4,mui,1024,1000,0.33650626717032966,0.04852623106103439,0.064453125,0.00390625,0.282911424512987,5.25263151042145e-73,0.5341796875,0.8466796875,0.931640625,0.96875,0.004197702728561126,0.006629199126109597,0.012211556887905317,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_4,tauA,1024,1000,0.5169039944430569,0.10382763346923396,0.0888671875,0.09375,0.07447337818431565,2.1945638434566543e-05,0.41015625,0.697265625,0.8173828125,0.89453125,-0.009060833479452413,0.18721959570393665,0.18623905117237882,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_5,mue,1024,1000,0.514053329483017,0.10213910776909395,0.0712890625,0.09375,0.0715885676823177,5.2212156610054244e-05,0.4130859375,0.705078125,0.8349609375,0.9033203125,-0.009834239250267274,0.14727596086049743,0.14767753728119715,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_5,mui,1024,1000,0.6691501857517483,0.048774744431552226,0.009765625,0.052734375,0.300601742007992,1.4533203655427388e-82,0.5087890625,0.83984375,0.9375,0.9775390625,-0.003934260574169457,0.00908263220480876,0.016015731557217805,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
7d,32768,member_5,tauA,1024,1000,0.5268920532592407,0.1026549493939274,0.08203125,0.0986328125,0.08065859921328666,3.0479039554921593e-06,0.408203125,0.7041015625,0.8193359375,0.896484375,-0.018435677946399665,0.18819126537346165,0.1886737778368115,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,74be2c1c8c94b63e627fccd73ef8274b6be7220eee27124819b63b83fde1222f,True
