track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256
8d,8192,ensemble,mue,1024,1000,0.5233731112637363,0.10198745099652247,0.072265625,0.0947265625,0.08416095623126874,9.291836926645609e-07,0.41015625,0.7138671875,0.8330078125,0.9091796875,-0.019126022702039336,0.14885641368709912,0.1512340114259132,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,mui,1024,1000,0.44509982205294707,0.05863112675328823,0.037109375,0.0146484375,0.14116547514985012,2.884505823689052e-18,0.634765625,0.896484375,0.9482421875,0.970703125,0.0038490293991344515,0.012367612844172982,0.035425011533789075,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,b,1024,1000,0.49399233578921087,0.08886326360131651,0.056640625,0.0615234375,0.028495918144355648,0.3696352990932066,0.4765625,0.7763671875,0.8818359375,0.931640625,0.00847066715505207,0.10757795585232088,0.1341297428443795,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,tauA,1024,1000,0.512471903096903,0.10212531659632945,0.087890625,0.08203125,0.06845693369130867,0.00012868616579627383,0.41796875,0.7099609375,0.830078125,0.8876953125,-0.0138540745319915,0.1912323601427488,0.1923463866187376,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,g_LK,1024,1000,0.48622763954795206,0.09035658860997046,0.06640625,0.0595703125,0.04103513673826173,0.06182893928685662,0.466796875,0.7685546875,0.8740234375,0.919921875,0.030797711790000903,0.15712461077600892,0.18908865205048642,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,g_h,1024,1000,0.49412696678321677,0.09173092441084528,0.0810546875,0.0576171875,0.04071904657842158,0.06520454265852804,0.47265625,0.7587890625,0.861328125,0.91015625,0.0209685743375303,0.1681087715896865,0.2044263736679568,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,c_th2ctx,1024,1000,0.4932547920829171,0.09959653821275842,0.0703125,0.083984375,0.06083564872627373,0.0009763884718936757,0.4130859375,0.7255859375,0.845703125,0.91796875,-0.044950007657462265,0.16634856010932708,0.18689392402666272,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,ensemble,c_ctx2th,1024,1000,0.5096505057442557,0.08627504665644493,0.0595703125,0.0693359375,0.025378917957042946,0.5163070228489226,0.5009765625,0.7783203125,0.87109375,0.92578125,-0.02097922253778961,0.25164709389900963,0.2835929566717823,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,member_1,mue,1024,1000,0.5233731112637363,0.10198745099652247,0.072265625,0.0947265625,0.08416095623126874,9.291836926645609e-07,0.41015625,0.7138671875,0.8330078125,0.9091796875,-0.019126022702039336,0.14885641368709912,0.1512340114259132,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
8d,8192,member_1,mui,1024,1000,0.44509982205294707,0.05863112675328823,0.037109375,0.0146484375,0.14116547514985012,2.884505823689052e-18,0.634765625,0.896484375,0.9482421875,0.970703125,0.0038490293991344515,0.012367612844172982,0.035425011533789075,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,60adfca45e466ddae2101a3609774992020570fad6c655bbfcab77954826ea8f
