track,member_key,parameter,strategy,metric,delta_vs_clipped,tolerance,exceeds_tolerance
8d,member_1,mue,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,mue,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,mue,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,mue,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,mue,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,mue,rejection_in_support,pit_ecdf_ks,0.05981968810916177,0.05,True
8d,member_1,mue,rejection_in_support,central_cov_90,-0.0625,0.03,True
8d,member_1,mue,rejection_in_support,rank_mean,0.022782651072124738,0.03,False
8d,member_1,mue,rejection_in_support,bias_unit,-0.01326444170748194,0.02,False
8d,member_1,mue,rejection_in_support,boundary_point_mass,-0.08492024739583333,0.02,True
8d,member_1,mui,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,mui,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,mui,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,mui,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,mui,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,mui,rejection_in_support,pit_ecdf_ks,0.01949317738791423,0.05,False
8d,member_1,mui,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_1,mui,rejection_in_support,rank_mean,0.004264132553606248,0.03,False
8d,member_1,mui,rejection_in_support,bias_unit,9.397665659586574e-05,0.02,False
8d,member_1,mui,rejection_in_support,boundary_point_mass,-0.008544921875,0.02,False
8d,member_1,b,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,b,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,b,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,b,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,b,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,b,rejection_in_support,pit_ecdf_ks,-0.004020467836257313,0.05,False
8d,member_1,b,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_1,b,rejection_in_support,rank_mean,0.008365821962313169,0.03,False
8d,member_1,b,rejection_in_support,bias_unit,-0.00387446116656065,0.02,False
8d,member_1,b,rejection_in_support,boundary_point_mass,-0.06355794270833333,0.02,True
8d,member_1,tauA,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,tauA,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,tauA,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,tauA,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,tauA,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,tauA,rejection_in_support,pit_ecdf_ks,0.012061403508771829,0.05,False
8d,member_1,tauA,rejection_in_support,central_cov_90,-0.0625,0.03,True
8d,member_1,tauA,rejection_in_support,rank_mean,0.024366471734892592,0.03,False
8d,member_1,tauA,rejection_in_support,bias_unit,-0.008411710849031806,0.02,False
8d,member_1,tauA,rejection_in_support,boundary_point_mass,-0.08984375,0.02,True
8d,member_1,g_LK,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_1,g_LK,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_1,g_LK,raw_preclip,rank_mean,0.0,0.03,False
8d,member_1,g_LK,raw_preclip,bias_unit,0.0,0.02,False
8d,member_1,g_LK,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_1,g_LK,rejection_in_support,pit_ecdf_ks,0.009746588693957114,0.05,False
8d,member_1,g_LK,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
