track,param_i,param_j,whitened_oof_resid_corr
8d,mue,mui,0.04914429165512121
8d,mue,b,0.181888344153299
8d,mue,tauA,0.8780915017356172
8d,mue,g_LK,-0.012029039104038953
8d,mue,g_h,0.02869958280629246
8d,mue,c_th2ctx,0.0025171638112915554
8d,mue,c_ctx2th,-0.002824782938238552
8d,mui,b,0.19069701354769997
8d,mui,tauA,-0.00540987224616436
8d,mui,g_LK,0.05214659671663661
8d,mui,g_h,-0.0952470106977583
8d,mui,c_th2ctx,-0.10364197804752127
8d,mui,c_ctx2th,0.013634266010489024
8d,b,tauA,-0.22238065018413683
8d,tauA,g_LK,-0.014929509222803002
8d,tauA,g_h,0.010856847141892717
8d,tauA,c_th2ctx,0.04659047265058612
8d,tauA,c_ctx2th,0.0018619089768489741
7d,mue,mui,0.046493310402502055
7d,mue,b,0.18697064115250886
7d,mue,tauA,0.8779506298175154
7d,mue,g_LK,-0.012910481334234393
7d,mue,g_h,0.027628116146499872
7d,mue,c_th2ctx,0.0009269349248074804
7d,mui,b,0.19263111782591244
7d,mui,tauA,-0.008656286321245425
7d,mui,g_LK,0.05322530202744707
7d,mui,g_h,-0.09835664810465668
7d,mui,c_th2ctx,-0.10576890357054752
7d,b,tauA,-0.218593190867273
7d,tauA,g_LK,-0.015430810593049148
7d,tauA,g_h,0.009435723759150152
7d,tauA,c_th2ctx,0.04408466595054503
