track,parameter,best_abs_spearman,max_mi,oof_r2_ridge,oof_r2_extratrees,oof_r2_prior_mean_baseline,oof_mae_ridge,oof_mae_extratrees,oof_mae_prior_mean,informative_vs_baseline,is_focus,metrics_source
8d,mue,0.6913046211906736,0.3308257322905286,0.5862961997929668,0.6065216568665375,-5.176875725876329e-07,0.15091684804392866,0.14727002440054715,0.25023141389418097,True,True,OOF_only
8d,mui,0.7418192669226341,0.46106095601269903,0.995146334328639,0.9871783730445245,-3.9891396630409304e-07,0.014199398464473607,0.021815300595254283,0.2497911951108514,True,True,OOF_only
8d,b,0.6096759490474252,0.3611656082716257,0.6677551282095762,0.7765907628548729,-3.5035234215996525e-06,0.1310870983166016,0.10543921096105803,0.2508272031825762,True,False,OOF_only
8d,tauA,0.540492916545032,0.18359355284588208,0.3552079052087942,0.36629631508994986,-6.821289219693938e-06,0.19090183487934298,0.18839742873312382,0.24986925732935286,True,True,OOF_only
8d,g_LK,0.41442717155870823,0.11639994464600534,0.47136993931902404,0.5054708838563369,-3.591219401855028e-07,0.1622545924356748,0.15236172347263977,0.25020004465875895,True,False,OOF_only
8d,g_h,0.6338886340827325,0.3160795523957045,0.5042932491803567,0.639867840607813,-2.7873330310512756e-09,0.1602862668646745,0.13067089242210553,0.250180679789188,True,False,OOF_only
8d,c_th2ctx,0.4898402358031407,0.15133985320374777,0.46749613145663016,0.5348990799782669,-2.2042008936073998e-05,0.1728656725607387,0.15864835182577725,0.25040482389051766,True,False,OOF_only
8d,c_ctx2th,0.007104212227247845,0.0,0.00016626885092885235,-0.005374030215930636,-1.4195956460127945e-05,0.24980375057379736,0.2504514819482486,0.2498793402826552,False,False,OOF_only
7d,mue,0.6915390708440475,0.32913362605123986,0.5855716296723816,0.6056807765097136,-5.176875725876329e-07,0.15095870570389425,0.14726872848433786,0.25023141389418097,True,True,OOF_only
7d,mui,0.7417074546499882,0.4638047673054624,0.9951579276199488,0.9873847817819918,-3.9891396630409304e-07,0.01422282822421298,0.02165587225342123,0.2497911951108514,True,True,OOF_only
7d,b,0.6116499972608537,0.35601318453278896,0.6696491185229541,0.7788977920913955,-3.5035234215996525e-06,0.130394504467226,0.10476331906650058,0.2508272031825762,True,False,OOF_only
7d,tauA,0.5402822873412416,0.18334589262074097,0.35535905327991935,0.367398405118752,-6.821289219693938e-06,0.1908609688230713,0.188225149286126,0.24986925732935286,True,True,OOF_only
7d,g_LK,0.4145963204344222,0.11424761678668016,0.47190886272726174,0.5040619325318363,-3.591219401855028e-07,0.16212061699430247,0.15259515778803098,0.25020004465875895,True,False,OOF_only
7d,g_h,0.632309835503524,0.30515457709254523,0.5038627378543429,0.6372977608071788,-2.7873330310512756e-09,0.160265006486758,0.13105137438936512,0.250180679789188,True,False,OOF_only
7d,c_th2ctx,0.4898352493978487,0.15423732857511752,0.466157879640428,0.5328296426148464,-2.2042008936073998e-05,0.17305152892294232,0.15896526684925943,0.25040482389051766,True,False,OOF_only
