track,member_key,parameter,mean_z,var_z,n_cases,mean_cond,chol_failures,cov_z_frobenius_to_I
8d,member_1,mue,0.11470259630154307,0.7761249900846987,48,182.84635842433624,0,1.6204467914319265
8d,member_1,mui,0.09192607941633058,0.0773373747892535,48,182.84635842433624,0,1.6204467914319265
8d,member_1,b,-0.08876066417762611,0.8880386673898307,48,182.84635842433624,0,1.6204467914319265
8d,member_1,tauA,0.258784441169562,0.3933378884484934,48,182.84635842433624,0,1.6204467914319265
8d,member_1,g_LK,0.17670587859769557,0.5961850069832342,48,182.84635842433624,0,1.6204467914319265
8d,member_1,g_h,0.023042343185279607,1.3097800182139268,48,182.84635842433624,0,1.6204467914319265
8d,member_1,c_th2ctx,0.02130400931580079,0.6793060046999925,48,182.84635842433624,0,1.6204467914319265
8d,member_1,c_ctx2th,-0.015329032425882275,0.9054630774500998,48,182.84635842433624,0,1.6204467914319265
8d,member_2,mue,0.11349940898814453,0.8020557845510992,48,227.38069575292602,0,1.5800830931214573
8d,member_2,mui,0.14113508877933204,0.10404814662193998,48,227.38069575292602,0,1.5800830931214573
8d,member_2,b,-0.10791426013829043,0.8270207622666182,48,227.38069575292602,0,1.5800830931214573
8d,member_2,tauA,0.2052400424321161,0.33627952383879856,48,227.38069575292602,0,1.5800830931214573
8d,member_2,g_LK,0.14803230373370294,0.6020882819804496,48,227.38069575292602,0,1.5800830931214573
8d,member_2,g_h,0.08689748948440262,1.3198202736554472,48,227.38069575292602,0,1.5800830931214573
8d,member_2,c_th2ctx,-0.1392966104072669,0.7208286610911467,48,227.38069575292602,0,1.5800830931214573
8d,member_2,c_ctx2th,-0.0022708757725987266,0.952523152939182,48,227.38069575292602,0,1.5800830931214573
8d,member_3,mue,0.10180083971170201,0.8748331328783829,48,406.07998502116203,0,1.5587863101927781
8d,member_3,mui,0.13313549308111308,0.07000480481126266,48,406.07998502116203,0,1.5587863101927781
8d,member_3,b,-0.026226431835949197,0.8244288289234452,48,406.07998502116203,0,1.5587863101927781
8d,member_3,tauA,0.266857121611563,0.32855884637156396,48,406.07998502116203,0,1.5587863101927781
8d,member_3,g_LK,0.1702987757304637,0.5839120846272644,48,406.07998502116203,0,1.5587863101927781
8d,member_3,g_h,0.13052567688815334,1.2498227184218575,48,406.07998502116203,0,1.5587863101927781
8d,member_3,c_th2ctx,-0.040630510970042284,0.7020779968375847,48,406.07998502116203,0,1.5587863101927781
8d,member_3,c_ctx2th,-0.01140912955111805,0.8555050166592618,48,406.07998502116203,0,1.5587863101927781
8d,member_4,mue,0.1481662657720708,0.8991403042220032,48,129.87716607258196,0,1.5749596266382389
8d,member_4,mui,0.08106722121605377,0.11523162287055824,48,129.87716607258196,0,1.5749596266382389
8d,member_4,b,-0.13372537786534686,0.8951194321314901,48,129.87716607258196,0,1.5749596266382389
8d,member_4,tauA,0.10632091585256752,0.37083231619186335,48,129.87716607258196,0,1.5749596266382389
8d,member_4,g_LK,0.17026334603136092,0.5997277428591712,48,129.87716607258196,0,1.5749596266382389
8d,member_4,g_h,0.09529490893579634,1.3532267786560397,48,129.87716607258196,0,1.5749596266382389
8d,member_4,c_th2ctx,-0.03801858642739309,0.8258514947155224,48,129.87716607258196,0,1.5749596266382389
