dataset_id,track,scale,estimator,parameter,ks_statistic,ks_pvalue,rank_mean,rank_variance,bias_mean,normalized_posterior_sd_median,holm_clear_issue
powered_1024,7d,32768,ensemble,mue,0.07666259521728269,1.1110609412724179e-05,0.5188990696803197,0.10098691356267175,-0.012003930502032745,0.5519552714021922,True
powered_1024,7d,32768,ensemble,mui,0.18439275568181823,6.020373642274162e-31,0.46075506524725274,0.03836356910595207,0.0012246498590684496,0.03127854159543887,True
powered_1024,7d,32768,ensemble,b,0.022276551573426562,0.6811322857163876,0.5060915646853147,0.08706790052730586,-0.0008655484452901874,0.36306109350816274,False
powered_1024,7d,32768,ensemble,tauA,0.07035445023726272,7.48605601325765e-05,0.5204239120254746,0.10094884674100306,-0.011323468090267852,0.7201008147367141,True
powered_1024,7d,32768,ensemble,g_LK,0.03636597777222772,0.1300244155063428,0.5045286744505495,0.09139349002440228,0.015854438930546166,0.5681560922686553,False
powered_1024,7d,32768,ensemble,g_h,0.02927443650099898,0.3374578474928609,0.5073559253246753,0.08454686752392529,0.01591640840160835,0.6678579641506355,False
powered_1024,7d,32768,ensemble,c_th2ctx,0.04344873876123878,0.0406472493487362,0.4969629979395604,0.09465633203287536,-0.04651754060614621,0.6289631512299483,False
powered_1024,7d,32768,member_1,mue,0.06916423420329665,0.00010533797951640279,0.5221058238636364,0.09875586579915459,-0.01438276244334702,0.5651516520443732,True
powered_1024,7d,32768,member_1,mui,0.25764469905094906,1.9656804286928608e-60,0.6323920220404595,0.047799779220127,-0.0034116145084226446,0.02720682732985817,True
powered_1024,7d,32768,member_1,b,0.02369115259740262,0.604901448186699,0.4951591377372627,0.0892929822411608,0.003409271250347956,0.3605520550422219,False
powered_1024,7d,32768,member_1,tauA,0.06658283123126874,0.00021656201934096585,0.5208268294205795,0.09885839182069894,-0.009412276289367583,0.7377718776602198,True
powered_1024,7d,32768,member_1,g_LK,0.06255268169330674,0.0006315499059349814,0.5126240946553446,0.09617385217202372,0.0062793183387839235,0.5412688970847628,True
powered_1024,7d,32768,member_1,g_h,0.033887011426073976,0.18597935884697325,0.5095383132492508,0.0877328118978142,0.018195435406596516,0.6416251963800383,False
powered_1024,7d,32768,member_1,c_th2ctx,0.07352998563936064,2.9247372536090487e-05,0.48883343219280717,0.10083306944284813,-0.046420857488556067,0.6112278999101314,True
powered_1024,7d,32768,member_2,mue,0.0558630822302697,0.003220114068090584,0.5085061422952049,0.0994768039829461,-0.0005719011478504399,0.5637549414473588,True
powered_1024,7d,32768,member_2,mui,0.2832597090409591,3.453377096884704e-73,0.3320810049325674,0.04764026836713074,0.003566714175121888,0.0204114890083666,True
powered_1024,7d,32768,member_2,b,0.03278362262737264,0.21628781519687545,0.4982361388611389,0.09040083203090285,0.0006055379108147463,0.2913149458416313,False
powered_1024,7d,32768,member_2,tauA,0.059993717220279685,0.0012035856699188566,0.5156084150224776,0.0993728540871275,-0.004946984288835665,0.7281877783848718,True
powered_1024,7d,32768,member_2,g_LK,0.034569922265234754,0.1689509075019746,0.49595326548451546,0.09019219926984265,0.011432926738052629,0.5548618417435585,False
powered_1024,7d,32768,member_2,g_h,0.027051073926073976,0.43428849618701326,0.5089763751873126,0.08770332361647515,0.012546796338938293,0.5696264891831078,False
powered_1024,7d,32768,member_2,c_th2ctx,0.031437312687312674,0.25819867821862186,0.5004312094155844,0.09270805444292651,-0.0476326935859106,0.6222401716462264,False
powered_1024,7d,32768,member_3,mue,0.09080567869630374,8.487594696769103e-08,0.5254208681943057,0.10504889300663668,-0.017078186387152527,0.5322902644716841,True
powered_1024,7d,32768,member_3,mui,0.304530430506993,8.998738827027428e-85,0.3301200752372627,0.04780022707305685,0.004323495244989317,0.028746576167375665,True
powered_1024,7d,32768,member_3,b,0.058704966908091905,0.0016485224411236286,0.5321553446553446,0.08913884529178326,-0.011408331505663227,0.36271532272192203,True
powered_1024,7d,32768,member_3,tauA,0.07845865072427571,6.263267768134832e-06,0.5193683269855145,0.10375822445070496,-0.012573280662763864,0.7005786379570647,True
powered_1024,7d,32768,member_3,g_LK,0.04675890515734271,0.02199398968428137,0.5090436906843157,0.0926134206745984,0.015134518833292532,0.5584949772415614,True
powered_1024,7d,32768,member_3,g_h,0.03631232049200794,0.13107123824424027,0.5103334165834166,0.08631455632255419,0.014104215018960531,0.6981310391684131,False
powered_1024,7d,32768,member_3,c_th2ctx,0.04976761519730269,0.012103446789077403,0.4961298467157842,0.09654604181902339,-0.04606689514184836,0.632862383376913,True
powered_1024,7d,32768,member_4,mue,0.0845424107142857,8.139230936147373e-07,0.5224453281093906,0.10462138080520374,-0.015584535040034098,0.5338439488629745,True
powered_1024,7d,32768,member_4,mui,0.282911424512987,5.25263151042145e-73,0.33650626717032966,0.04852623106103439,0.004197702728561126,0.029094079420887126,True
powered_1024,7d,32768,member_4,b,0.045290646853146876,0.029041927525609523,0.48389598682567436,0.09207710681345585,0.008314277320096153,0.34865210191950524,False
powered_1024,7d,32768,member_4,tauA,0.07447337818431565,2.1945638434566543e-05,0.5169039944430569,0.10382763346923396,-0.009060833479452413,0.7028321746018225,True
powered_1024,7d,32768,member_4,g_LK,0.038061547827172804,0.10030178929330624,0.49939708728771226,0.09273822458322847,0.018036389164990396,0.5682931668857878,False
