dataset_id,track,scale,estimator,nominal,empirical
powered_1024,8d,8192,ensemble,0.0,0.0
powered_1024,8d,8192,ensemble,0.01,0.017578125
powered_1024,8d,8192,ensemble,0.02,0.0380859375
powered_1024,8d,8192,ensemble,0.03,0.0546875
powered_1024,8d,8192,ensemble,0.04,0.07421875
powered_1024,8d,8192,ensemble,0.05,0.0869140625
powered_1024,8d,8192,ensemble,0.06,0.111328125
powered_1024,8d,8192,ensemble,0.07,0.1279296875
powered_1024,8d,8192,ensemble,0.08,0.1474609375
powered_1024,8d,8192,ensemble,0.09,0.1611328125
powered_1024,8d,8192,ensemble,0.1,0.177734375
powered_1024,8d,8192,ensemble,0.11,0.1865234375
powered_1024,8d,8192,ensemble,0.12,0.1962890625
powered_1024,8d,8192,ensemble,0.13,0.20703125
powered_1024,8d,8192,ensemble,0.14,0.2177734375
powered_1024,8d,8192,ensemble,0.15,0.2333984375
powered_1024,8d,8192,ensemble,0.16,0.244140625
powered_1024,8d,8192,ensemble,0.17,0.259765625
powered_1024,8d,8192,ensemble,0.18,0.2734375
powered_1024,8d,8192,ensemble,0.19,0.2861328125
powered_1024,8d,8192,ensemble,0.2,0.30078125
powered_1024,8d,8192,ensemble,0.21,0.306640625
powered_1024,8d,8192,ensemble,0.22,0.314453125
powered_1024,8d,8192,ensemble,0.23,0.330078125
powered_1024,8d,8192,ensemble,0.24,0.337890625
powered_1024,8d,8192,ensemble,0.25,0.3505859375
powered_1024,8d,8192,ensemble,0.26,0.361328125
powered_1024,8d,8192,ensemble,0.27,0.37109375
powered_1024,8d,8192,ensemble,0.28,0.384765625
powered_1024,8d,8192,ensemble,0.29,0.3984375
powered_1024,8d,8192,ensemble,0.3,0.408203125
powered_1024,8d,8192,ensemble,0.31,0.423828125
powered_1024,8d,8192,ensemble,0.32,0.435546875
powered_1024,8d,8192,ensemble,0.33,0.4482421875
powered_1024,8d,8192,ensemble,0.34,0.455078125
powered_1024,8d,8192,ensemble,0.35000000000000003,0.4658203125
powered_1024,8d,8192,ensemble,0.36,0.474609375
powered_1024,8d,8192,ensemble,0.37,0.4853515625
powered_1024,8d,8192,ensemble,0.38,0.494140625
powered_1024,8d,8192,ensemble,0.39,0.5068359375
powered_1024,8d,8192,ensemble,0.4,0.5185546875
powered_1024,8d,8192,ensemble,0.41000000000000003,0.5244140625
powered_1024,8d,8192,ensemble,0.42,0.53515625
powered_1024,8d,8192,ensemble,0.43,0.5390625
powered_1024,8d,8192,ensemble,0.44,0.5498046875
powered_1024,8d,8192,ensemble,0.45,0.560546875
powered_1024,8d,8192,ensemble,0.46,0.5703125
powered_1024,8d,8192,ensemble,0.47000000000000003,0.5810546875
powered_1024,8d,8192,ensemble,0.48,0.583984375
powered_1024,8d,8192,ensemble,0.49,0.5966796875
powered_1024,8d,8192,ensemble,0.5,0.6044921875
powered_1024,8d,8192,ensemble,0.51,0.6123046875
powered_1024,8d,8192,ensemble,0.52,0.6240234375
