parameter_a,parameter_b,correlation,absolute_correlation
mue,tauA,0.8497790199278693,0.8497790199278693
g_h,c_th2ctx,0.6549694906622018,0.6549694906622018
g_LK,c_th2ctx,0.37011564203699693,0.37011564203699693
b,tauA,-0.3241833988383913,0.3241833988383913
mui,g_LK,0.2218075974545179,0.2218075974545179
mui,g_h,-0.16241489481709245,0.16241489481709245
mue,b,0.1603740619678604,0.1603740619678604
b,g_LK,-0.15317924228258442,0.15317924228258442
b,g_h,0.12547165084111364,0.12547165084111364
mui,c_th2ctx,-0.08144966145757403,0.08144966145757403
g_LK,g_h,-0.07856980710156863,0.07856980710156863
mue,mui,-0.07536684390452068,0.07536684390452068
mue,g_LK,-0.07076523191671422,0.07076523191671422
mue,g_h,0.05174634487050599,0.05174634487050599
mui,tauA,0.04708733806011912,0.04708733806011912
tauA,c_th2ctx,0.04316083525170384,0.04316083525170384
mue,c_th2ctx,0.03955773743117462,0.03955773743117462
tauA,g_LK,0.03856687009826533,0.03856687009826533
mui,b,-0.028164582932451897,0.028164582932451897
tauA,g_h,-0.0197694731044149,0.0197694731044149
b,c_th2ctx,-0.0053359111344666674,0.0053359111344666674
