track,member_index,draw_index,role,posterior_sample_seed
8d,1,0,primary,9440004
8d,1,1,primary,9440004
8d,1,2,primary,9440004
8d,1,3,primary,9440004
8d,1,4,primary,9440004
8d,1,5,primary,9440004
8d,1,6,primary,9440004
8d,1,7,primary,9440004
8d,1,8,primary,9440004
8d,1,9,primary,9440004
8d,1,10,primary,9440004
8d,1,11,primary,9440004
8d,1,12,primary,9440004
8d,1,13,primary,9440004
8d,1,14,primary,9440004
8d,1,15,primary,9440004
8d,1,16,primary,9440004
8d,1,17,primary,9440004
8d,1,18,primary,9440004
8d,1,19,primary,9440004
8d,1,20,primary,9440004
8d,1,21,primary,9440004
8d,1,22,primary,9440004
8d,1,23,primary,9440004
8d,1,24,primary,9440004
8d,1,25,primary,9440004
8d,1,26,primary,9440004
8d,1,27,primary,9440004
8d,1,28,primary,9440004
8d,1,29,primary,9440004
8d,1,30,primary,9440004
8d,1,31,primary,9440004
8d,1,32,primary,9440004
8d,1,33,primary,9440004
8d,1,34,primary,9440004
8d,1,35,primary,9440004
8d,1,36,primary,9440004
8d,1,37,primary,9440004
8d,1,38,primary,9440004
8d,1,39,primary,9440004
8d,1,40,primary,9440004
8d,1,41,primary,9440004
8d,1,42,primary,9440004
8d,1,43,primary,9440004
8d,1,44,primary,9440004
8d,1,45,primary,9440004
8d,1,46,primary,9440004
8d,1,47,primary,9440004
8d,1,48,primary,9440004
8d,1,49,primary,9440004
8d,1,50,primary,9440004
8d,1,51,primary,9440004
8d,1,52,primary,9440004
8d,1,53,primary,9440004
8d,1,54,primary,9440004
8d,1,55,primary,9440004
8d,1,56,primary,9440004
8d,1,57,primary,9440004
8d,1,58,primary,9440004
8d,1,59,primary,9440004
8d,1,60,primary,9440004
8d,1,61,primary,9440004
8d,1,62,primary,9440004
8d,1,63,primary,9440004
8d,1,64,primary,9440004
8d,1,65,primary,9440004
8d,1,66,primary,9440004
8d,1,67,primary,9440004
8d,1,68,primary,9440004
8d,1,69,primary,9440004
8d,1,70,primary,9440004
8d,1,71,primary,9440004
8d,1,72,primary,9440004
8d,1,73,primary,9440004
8d,1,74,primary,9440004
8d,1,75,primary,9440004
8d,1,76,primary,9440004
8d,1,77,primary,9440004
8d,1,78,primary,9440004
8d,1,79,primary,9440004
8d,1,80,primary,9440004
8d,1,81,primary,9440004
8d,1,82,primary,9440004
8d,1,83,primary,9440004
8d,1,84,primary,9440004
8d,1,85,primary,9440004
8d,1,86,primary,9440004
8d,1,87,primary,9440004
8d,1,88,primary,9440004
8d,1,89,primary,9440004
8d,1,90,primary,9440004
8d,1,91,primary,9440004
8d,1,92,primary,9440004
8d,1,93,primary,9440004
