track,member_index,draw_index,role,simulator_seed
8d,1,0,primary,9450004
8d,1,1,primary,9554733
8d,1,2,primary,9659462
8d,1,3,primary,9764191
8d,1,4,primary,9868920
8d,1,5,primary,9973649
8d,1,6,primary,10078378
8d,1,7,primary,10183107
8d,1,8,primary,10287836
8d,1,9,primary,10392565
8d,1,10,primary,10497294
8d,1,11,primary,10602023
8d,1,12,primary,10706752
8d,1,13,primary,10811481
8d,1,14,primary,10916210
8d,1,15,primary,11020939
8d,1,16,primary,11125668
8d,1,17,primary,11230397
8d,1,18,primary,11335126
8d,1,19,primary,11439855
8d,1,20,primary,11544584
8d,1,21,primary,11649313
8d,1,22,primary,11754042
8d,1,23,primary,11858771
8d,1,24,primary,11963500
8d,1,25,primary,12068229
8d,1,26,primary,12172958
8d,1,27,primary,12277687
8d,1,28,primary,12382416
8d,1,29,primary,12487145
8d,1,30,primary,12591874
8d,1,31,primary,12696603
8d,1,32,primary,12801332
8d,1,33,primary,12906061
8d,1,34,primary,13010790
8d,1,35,primary,13115519
8d,1,36,primary,13220248
8d,1,37,primary,13324977
8d,1,38,primary,13429706
8d,1,39,primary,13534435
8d,1,40,primary,13639164
8d,1,41,primary,13743893
8d,1,42,primary,13848622
8d,1,43,primary,13953351
8d,1,44,primary,14058080
8d,1,45,primary,14162809
8d,1,46,primary,14267538
8d,1,47,primary,14372267
8d,1,48,primary,14476996
8d,1,49,primary,14581725
8d,1,50,primary,14686454
8d,1,51,primary,14791183
8d,1,52,primary,14895912
8d,1,53,primary,15000641
8d,1,54,primary,15105370
8d,1,55,primary,15210099
8d,1,56,primary,15314828
8d,1,57,primary,15419557
8d,1,58,primary,15524286
8d,1,59,primary,15629015
8d,1,60,primary,15733744
8d,1,61,primary,15838473
8d,1,62,primary,15943202
8d,1,63,primary,16047931
8d,1,64,primary,16152660
8d,1,65,primary,16257389
8d,1,66,primary,16362118
8d,1,67,primary,16466847
8d,1,68,primary,16571576
8d,1,69,primary,16676305
8d,1,70,primary,16781034
8d,1,71,primary,16885763
8d,1,72,primary,16990492
8d,1,73,primary,17095221
8d,1,74,primary,17199950
8d,1,75,primary,17304679
8d,1,76,primary,17409408
8d,1,77,primary,17514137
8d,1,78,primary,17618866
8d,1,79,primary,17723595
8d,1,80,primary,17828324
8d,1,81,primary,17933053
8d,1,82,primary,18037782
8d,1,83,primary,18142511
8d,1,84,primary,18247240
8d,1,85,primary,18351969
8d,1,86,primary,18456698
8d,1,87,primary,18561427
8d,1,88,primary,18666156
8d,1,89,primary,18770885
8d,1,90,primary,18875614
8d,1,91,primary,18980343
8d,1,92,primary,19085072
8d,1,93,primary,19189801
8d,1,94,primary,19294530
8d,1,95,primary,19399259
8d,1,96,primary,19503988
8d,1,97,primary,19608717
8d,1,98,primary,19713446
8d,1,99,primary,19818175
8d,1,100,primary,19922904
8d,1,101,primary,20027633
8d,1,102,primary,20132362
8d,1,103,primary,20237091
8d,1,104,primary,20341820
8d,1,105,primary,20446549
8d,1,106,primary,20551278
8d,1,107,primary,20656007
8d,1,108,primary,20760736
8d,1,109,primary,20865465
8d,1,110,primary,20970194
8d,1,111,primary,21074923
8d,1,112,primary,21179652
8d,1,113,primary,21284381
8d,1,114,primary,21389110
8d,1,115,primary,21493839
8d,1,116,primary,21598568
8d,1,117,primary,21703297
8d,1,118,primary,21808026
8d,1,119,primary,21912755
8d,1,120,primary,22017484
8d,1,121,primary,22122213
8d,1,122,primary,22226942
8d,1,123,primary,22331671
8d,1,124,primary,22436400
8d,1,125,primary,22541129
8d,1,126,primary,22645858
8d,1,127,primary,22750587
8d,1,128,primary,22855316
8d,1,129,primary,22960045
8d,1,130,primary,23064774
8d,1,131,primary,23169503
8d,1,132,primary,23274232
8d,1,133,primary,23378961
8d,1,134,primary,23483690
8d,1,135,primary,23588419
8d,1,136,primary,23693148
8d,1,137,primary,23797877
8d,1,138,primary,23902606
8d,1,139,primary,24007335
8d,1,140,primary,24112064
8d,1,141,primary,24216793
8d,1,142,primary,24321522
8d,1,143,primary,24426251
8d,1,144,primary,24530980
8d,1,145,primary,24635709
8d,1,146,primary,24740438
8d,1,147,primary,24845167
8d,1,148,primary,24949896
8d,1,149,primary,25054625
8d,1,150,primary,25159354
8d,1,151,primary,25264083
8d,1,152,primary,25368812
8d,1,153,primary,25473541
8d,1,154,primary,25578270
8d,1,155,primary,25682999
8d,1,156,primary,25787728
8d,1,157,primary,25892457
8d,1,158,primary,25997186
8d,1,159,primary,26101915
8d,1,160,primary,26206644
8d,1,161,primary,26311373
8d,1,162,primary,26416102
8d,1,163,primary,26520831
8d,1,164,primary,26625560
8d,1,165,primary,26730289
8d,1,166,primary,26835018
8d,1,167,primary,26939747
8d,1,168,primary,27044476
8d,1,169,primary,27149205
8d,1,170,primary,27253934
8d,1,171,primary,27358663
8d,1,172,primary,27463392
8d,1,173,primary,27568121
8d,1,174,primary,27672850
8d,1,175,primary,27777579
8d,1,176,primary,27882308
8d,1,177,primary,27987037
8d,1,178,primary,28091766
8d,1,179,primary,28196495
8d,1,180,primary,28301224
8d,1,181,primary,28405953
8d,1,182,primary,28510682
8d,1,183,primary,28615411
8d,1,184,primary,28720140
8d,1,185,primary,28824869
8d,1,186,primary,28929598
8d,1,187,primary,29034327
8d,1,188,primary,29139056
8d,1,189,primary,29243785
8d,1,190,primary,29348514
8d,1,191,primary,29453243
8d,1,192,primary,29557972
8d,1,193,primary,29662701
8d,1,194,primary,29767430
8d,1,195,primary,29872159
8d,1,196,primary,29976888
8d,1,197,primary,30081617
8d,1,198,primary,30186346
8d,1,199,primary,30291075
8d,1,200,primary,30395804
8d,1,201,primary,30500533
8d,1,202,primary,30605262
8d,1,203,primary,30709991
8d,1,204,primary,30814720
8d,1,205,primary,30919449
8d,1,206,primary,31024178
8d,1,207,primary,31128907
8d,1,208,primary,31233636
8d,1,209,primary,31338365
8d,1,210,primary,31443094
8d,1,211,primary,31547823
8d,1,212,primary,31652552
8d,1,213,primary,31757281
8d,1,214,primary,31862010
8d,1,215,primary,31966739
8d,1,216,primary,32071468
8d,1,217,primary,32176197
8d,1,218,primary,32280926
8d,1,219,primary,32385655
8d,1,220,primary,32490384
8d,1,221,primary,32595113
8d,1,222,primary,32699842
8d,1,223,primary,32804571
8d,1,224,primary,32909300
8d,1,225,primary,33014029
8d,1,226,primary,33118758
8d,1,227,primary,33223487
8d,1,228,primary,33328216
8d,1,229,primary,33432945
8d,1,230,primary,33537674
8d,1,231,primary,33642403
8d,1,232,primary,33747132
8d,1,233,primary,33851861
8d,1,234,primary,33956590
8d,1,235,primary,34061319
8d,1,236,primary,34166048
8d,1,237,primary,34270777
8d,1,238,primary,34375506
8d,1,239,primary,34480235
8d,1,240,primary,34584964
8d,1,241,primary,34689693
8d,1,242,primary,34794422
8d,1,243,primary,34899151
8d,1,244,primary,35003880
8d,1,245,primary,35108609
8d,1,246,primary,35213338
8d,1,247,primary,35318067
8d,1,248,primary,35422796
8d,1,249,primary,35527525
8d,1,250,primary,35632254
8d,1,251,primary,35736983
8d,1,252,primary,35841712
8d,1,253,primary,35946441
8d,1,254,primary,36051170
8d,1,255,primary,36155899
8d,1,256,reserve,36260628
8d,1,257,reserve,36365357
8d,1,258,reserve,36470086
8d,1,259,reserve,36574815
8d,1,260,reserve,36679544
8d,1,261,reserve,36784273
8d,1,262,reserve,36889002
8d,1,263,reserve,36993731
8d,1,264,reserve,37098460
8d,1,265,reserve,37203189
8d,1,266,reserve,37307918
8d,1,267,reserve,37412647
8d,1,268,reserve,37517376
8d,1,269,reserve,37622105
8d,1,270,reserve,37726834
8d,1,271,reserve,37831563
8d,1,272,reserve,37936292
8d,1,273,reserve,38041021
8d,1,274,reserve,38145750
8d,1,275,reserve,38250479
8d,1,276,reserve,38355208
8d,1,277,reserve,38459937
8d,1,278,reserve,38564666
8d,1,279,reserve,38669395
8d,1,280,reserve,38774124
8d,1,281,reserve,38878853
8d,1,282,reserve,38983582
8d,1,283,reserve,39088311
8d,1,284,reserve,39193040
8d,1,285,reserve,39297769
8d,1,286,reserve,39402498
8d,1,287,reserve,39507227
8d,1,288,reserve,39611956
8d,1,289,reserve,39716685
8d,1,290,reserve,39821414
8d,1,291,reserve,39926143
8d,1,292,reserve,40030872
8d,1,293,reserve,40135601
8d,1,294,reserve,40240330
8d,1,295,reserve,40345059
8d,1,296,reserve,40449788
8d,1,297,reserve,40554517
8d,1,298,reserve,40659246
8d,1,299,reserve,40763975
8d,1,300,reserve,40868704
8d,1,301,reserve,40973433
8d,1,302,reserve,41078162
8d,1,303,reserve,41182891
8d,1,304,reserve,41287620
8d,1,305,reserve,41392349
8d,1,306,reserve,41497078
8d,1,307,reserve,41601807
8d,1,308,reserve,41706536
8d,1,309,reserve,41811265
8d,1,310,reserve,41915994
8d,1,311,reserve,42020723
8d,1,312,reserve,42125452
8d,1,313,reserve,42230181
8d,1,314,reserve,42334910
8d,1,315,reserve,42439639
8d,1,316,reserve,42544368
8d,1,317,reserve,42649097
8d,1,318,reserve,42753826
8d,1,319,reserve,42858555
8d,2,0,primary,9550007
8d,2,1,primary,9654736
8d,2,2,primary,9759465
8d,2,3,primary,9864194
8d,2,4,primary,9968923
8d,2,5,primary,10073652
8d,2,6,primary,10178381
8d,2,7,primary,10283110
8d,2,8,primary,10387839
8d,2,9,primary,10492568
8d,2,10,primary,10597297
8d,2,11,primary,10702026
8d,2,12,primary,10806755
8d,2,13,primary,10911484
8d,2,14,primary,11016213
8d,2,15,primary,11120942
8d,2,16,primary,11225671
8d,2,17,primary,11330400
8d,2,18,primary,11435129
8d,2,19,primary,11539858
8d,2,20,primary,11644587
8d,2,21,primary,11749316
8d,2,22,primary,11854045
8d,2,23,primary,11958774
8d,2,24,primary,12063503
8d,2,25,primary,12168232
8d,2,26,primary,12272961
8d,2,27,primary,12377690
8d,2,28,primary,12482419
8d,2,29,primary,12587148
8d,2,30,primary,12691877
8d,2,31,primary,12796606
8d,2,32,primary,12901335
