track,estimator,parameter,median_contraction,mean_abs_recovery_error,analysis_name
8d,ensemble,mue,0.5533295276748036,0.14753850079250697,location_scale_proxy_from_stored_median_std
8d,ensemble,mui,0.049446520976324244,0.006101153564486594,location_scale_proxy_from_stored_median_std
8d,ensemble,b,0.3856865095394682,0.09222120517188159,location_scale_proxy_from_stored_median_std
8d,ensemble,tauA,0.7258778220238551,0.18825852038207813,location_scale_proxy_from_stored_median_std
8d,ensemble,g_LK,0.6165916701995491,0.15023437680792995,location_scale_proxy_from_stored_median_std
8d,ensemble,g_h,0.7193856832188251,0.14822946714957652,location_scale_proxy_from_stored_median_std
8d,ensemble,c_th2ctx,0.6548290617970203,0.1561473188266973,location_scale_proxy_from_stored_median_std
8d,ensemble,c_ctx2th,0.9942940026965326,0.2503202850330126,location_scale_proxy_from_stored_median_std
8d,member_1,mue,0.5399867035422046,0.14772021449425665,location_scale_proxy_from_stored_median_std
8d,member_1,mui,0.051490480700456344,0.008349082136646757,location_scale_proxy_from_stored_median_std
8d,member_1,b,0.4016582317730981,0.09837701373908203,location_scale_proxy_from_stored_median_std
8d,member_1,tauA,0.7003326727713608,0.18902257946683676,location_scale_proxy_from_stored_median_std
8d,member_1,g_LK,0.6283557488500582,0.15183399306988576,location_scale_proxy_from_stored_median_std
8d,member_1,g_h,0.7445857843529904,0.15414966126081708,location_scale_proxy_from_stored_median_std
8d,member_1,c_th2ctx,0.6373568874066766,0.1591747865677462,location_scale_proxy_from_stored_median_std
8d,member_1,c_ctx2th,0.9951104109603504,0.2506477424449258,location_scale_proxy_from_stored_median_std
8d,member_2,mue,0.5491489196144554,0.14735216959707031,location_scale_proxy_from_stored_median_std
8d,member_2,mui,0.038549571230596186,0.0069082897748558025,location_scale_proxy_from_stored_median_std
8d,member_2,b,0.3633092525071703,0.09225906770552683,location_scale_proxy_from_stored_median_std
8d,member_2,tauA,0.7243749824820752,0.18687651799154992,location_scale_proxy_from_stored_median_std
8d,member_2,g_LK,0.610882154933459,0.1512059315573424,location_scale_proxy_from_stored_median_std
8d,member_2,g_h,0.680519957681589,0.14824715659597132,location_scale_proxy_from_stored_median_std
8d,member_2,c_th2ctx,0.6557181756146815,0.1549611008958891,location_scale_proxy_from_stored_median_std
8d,member_2,c_ctx2th,0.9936155723847371,0.25053970838598616,location_scale_proxy_from_stored_median_std
8d,member_3,mue,0.5694152378667399,0.14629571464502078,location_scale_proxy_from_stored_median_std
8d,member_3,mui,0.02546007043030778,0.005638827491111442,location_scale_proxy_from_stored_median_std
8d,member_3,b,0.32955197610514675,0.08218329065130092,location_scale_proxy_from_stored_median_std
8d,member_3,tauA,0.7286930006839434,0.1867957034301071,location_scale_proxy_from_stored_median_std
8d,member_3,g_LK,0.5568003726074648,0.14881168097963382,location_scale_proxy_from_stored_median_std
8d,member_3,g_h,0.6102903157232413,0.14110877109669673,location_scale_proxy_from_stored_median_std
8d,member_3,c_th2ctx,0.6287101916512408,0.15489950310075074,location_scale_proxy_from_stored_median_std
8d,member_3,c_ctx2th,0.9970609948926431,0.25144830994941003,location_scale_proxy_from_stored_median_std
8d,member_4,mue,0.5274852197163815,0.1487406009764527,location_scale_proxy_from_stored_median_std
8d,member_4,mui,0.06013260009681658,0.009000035941426177,location_scale_proxy_from_stored_median_std
8d,member_4,b,0.4125738466759863,0.10136700284783728,location_scale_proxy_from_stored_median_std
8d,member_4,tauA,0.6986566768359939,0.18996959092692123,location_scale_proxy_from_stored_median_std
8d,member_4,g_LK,0.6282173837545116,0.15223755457191146,location_scale_proxy_from_stored_median_std
8d,member_4,g_h,0.7468475542500295,0.15963535722949018,location_scale_proxy_from_stored_median_std
8d,member_4,c_th2ctx,0.6544144310826099,0.16016561380092753,location_scale_proxy_from_stored_median_std
8d,member_4,c_ctx2th,0.994364411198799,0.2505825756506965,location_scale_proxy_from_stored_median_std
8d,member_5,mue,0.5598369457442549,0.14842487862733833,location_scale_proxy_from_stored_median_std
8d,member_5,mui,0.049703021305180145,0.009015393637128,location_scale_proxy_from_stored_median_std
8d,member_5,b,0.388997567434911,0.09669902655696205,location_scale_proxy_from_stored_median_std
8d,member_5,tauA,0.7329328933226296,0.19045258018013556,location_scale_proxy_from_stored_median_std
8d,member_5,g_LK,0.6194987051131442,0.15336101044522366,location_scale_proxy_from_stored_median_std
8d,member_5,g_h,0.7614470720717263,0.14951735340764571,location_scale_proxy_from_stored_median_std
8d,member_5,c_th2ctx,0.6691131866943415,0.1573228081506386,location_scale_proxy_from_stored_median_std
8d,member_5,c_ctx2th,0.9902444298143397,0.2523838875913498,location_scale_proxy_from_stored_median_std
7d,ensemble,mue,0.5519552714021922,0.146295703105352,location_scale_proxy_from_stored_median_std
7d,ensemble,mui,0.03127854159543887,0.004841848877731536,location_scale_proxy_from_stored_median_std
7d,ensemble,b,0.36306109350816274,0.08940476479256176,location_scale_proxy_from_stored_median_std
7d,ensemble,tauA,0.7201008147367141,0.18624820168770384,location_scale_proxy_from_stored_median_std
7d,ensemble,g_LK,0.5681560922686553,0.1497811343324429,location_scale_proxy_from_stored_median_std
7d,ensemble,g_h,0.6678579641506355,0.1423891085487412,location_scale_proxy_from_stored_median_std
7d,ensemble,c_th2ctx,0.6289631512299483,0.15105252116336487,location_scale_proxy_from_stored_median_std
7d,member_1,mue,0.5651516520443732,0.14783905606418557,location_scale_proxy_from_stored_median_std
7d,member_1,mui,0.02720682732985817,0.005936753424521157,location_scale_proxy_from_stored_median_std
7d,member_1,b,0.3605520550422219,0.09147185250731127,location_scale_proxy_from_stored_median_std
7d,member_1,tauA,0.7377718776602198,0.1884697215646156,location_scale_proxy_from_stored_median_std
7d,member_1,g_LK,0.5412688970847628,0.15081380454648752,location_scale_proxy_from_stored_median_std
7d,member_1,g_h,0.6416251963800383,0.14629638030055503,location_scale_proxy_from_stored_median_std
7d,member_1,c_th2ctx,0.6112278999101314,0.15458617180775036,location_scale_proxy_from_stored_median_std
7d,member_2,mue,0.5637549414473588,0.1452203418211866,location_scale_proxy_from_stored_median_std
7d,member_2,mui,0.0204114890083666,0.005257984230865986,location_scale_proxy_from_stored_median_std
7d,member_2,b,0.2913149458416313,0.08050832553090004,location_scale_proxy_from_stored_median_std
7d,member_2,tauA,0.7281877783848718,0.18556610059386003,location_scale_proxy_from_stored_median_std
7d,member_2,g_LK,0.5548618417435585,0.14875684028083924,location_scale_proxy_from_stored_median_std
7d,member_2,g_h,0.5696264891831078,0.13436095742690668,location_scale_proxy_from_stored_median_std
7d,member_2,c_th2ctx,0.6222401716462264,0.1459003175732505,location_scale_proxy_from_stored_median_std
7d,member_3,mue,0.5322902644716841,0.14702428553391655,location_scale_proxy_from_stored_median_std
7d,member_3,mui,0.028746576167375665,0.0062763339988123334,location_scale_proxy_from_stored_median_std
7d,member_3,b,0.36271532272192203,0.09283473841060186,location_scale_proxy_from_stored_median_std
7d,member_3,tauA,0.7005786379570647,0.18641902523086173,location_scale_proxy_from_stored_median_std
7d,member_3,g_LK,0.5584949772415614,0.1509948570292181,location_scale_proxy_from_stored_median_std
7d,member_3,g_h,0.6981310391684131,0.1504371605024062,location_scale_proxy_from_stored_median_std
7d,member_3,c_th2ctx,0.632862383376913,0.15419691277929815,location_scale_proxy_from_stored_median_std
7d,member_4,mue,0.5338439488629745,0.14724604803450347,location_scale_proxy_from_stored_median_std
7d,member_4,mui,0.029094079420887126,0.006629199126109597,location_scale_proxy_from_stored_median_std
7d,member_4,b,0.34865210191950524,0.09223082512289693,location_scale_proxy_from_stored_median_std
7d,member_4,tauA,0.7028321746018225,0.18721959570393665,location_scale_proxy_from_stored_median_std
7d,member_4,g_LK,0.5682931668857878,0.15238493311517232,location_scale_proxy_from_stored_median_std
7d,member_4,g_h,0.6945698865563418,0.1463676084913459,location_scale_proxy_from_stored_median_std
