track,case_id,parameter,f_between,trace_between_fraction,pairwise_mahal_mean,n_posterior_samples_per_member
8d,0,mue,0.0008227295072182931,0.008107021884556516,0.5035172888298884,512
8d,0,mui,0.017603452049373226,0.008107021884556516,0.5035172888298884,512
8d,0,b,0.014272059937834813,0.008107021884556516,0.5035172888298884,512
8d,0,tauA,0.002865921760954984,0.008107021884556516,0.5035172888298884,512
8d,0,g_LK,0.010250677126462814,0.008107021884556516,0.5035172888298884,512
8d,0,g_h,0.04396598102172502,0.008107021884556516,0.5035172888298884,512
8d,0,c_th2ctx,0.018788818343889818,0.008107021884556516,0.5035172888298884,512
8d,0,c_ctx2th,0.0009485369151486659,0.008107021884556516,0.5035172888298884,512
8d,21,mue,0.00930218078984249,0.010807568968169598,0.46128700923478805,512
8d,21,mui,0.009737444529461455,0.010807568968169598,0.46128700923478805,512
8d,21,b,0.021195842728736047,0.010807568968169598,0.46128700923478805,512
8d,21,tauA,0.015346594708236995,0.010807568968169598,0.46128700923478805,512
8d,21,g_LK,0.015445543331276144,0.010807568968169598,0.46128700923478805,512
8d,21,g_h,0.008440638702776903,0.010807568968169598,0.46128700923478805,512
8d,21,c_th2ctx,0.019168209695286077,0.010807568968169598,0.46128700923478805,512
8d,21,c_ctx2th,0.0006481430175183289,0.010807568968169598,0.46128700923478805,512
8d,43,mue,0.0019314859735365174,0.004921722530070836,0.3383466371339562,512
8d,43,mui,0.0035010360548943993,0.004921722530070836,0.3383466371339562,512
8d,43,b,0.0035679398556914014,0.004921722530070836,0.3383466371339562,512
8d,43,tauA,0.002422262098106469,0.004921722530070836,0.3383466371339562,512
8d,43,g_LK,0.0022376153581952427,0.004921722530070836,0.3383466371339562,512
8d,43,g_h,0.013748095809417073,0.004921722530070836,0.3383466371339562,512
8d,43,c_th2ctx,0.007816865985941803,0.004921722530070836,0.3383466371339562,512
8d,43,c_ctx2th,0.0025907709499274644,0.004921722530070836,0.3383466371339562,512
8d,65,mue,0.004853483002230438,0.005832131087316092,0.44016191659537157,512
8d,65,mui,0.02830717421938328,0.005832131087316092,0.44016191659537157,512
8d,65,b,0.012559426205205084,0.005832131087316092,0.44016191659537157,512
8d,65,tauA,0.005021328277213061,0.005832131087316092,0.44016191659537157,512
8d,65,g_LK,0.00011741775742038877,0.005832131087316092,0.44016191659537157,512
8d,65,g_h,0.01209012212225471,0.005832131087316092,0.44016191659537157,512
8d,65,c_th2ctx,0.012083992504237912,0.005832131087316092,0.44016191659537157,512
8d,65,c_ctx2th,0.00040194856776488985,0.005832131087316092,0.44016191659537157,512
8d,87,mue,0.0020141591307676616,0.008874029698952656,0.47919514409213965,512
8d,87,mui,0.0047876955817849585,0.008874029698952656,0.47919514409213965,512
8d,87,b,0.0330623198584151,0.008874029698952656,0.47919514409213965,512
8d,87,tauA,0.008231104752560517,0.008874029698952656,0.47919514409213965,512
8d,87,g_LK,0.011151169464787825,0.008874029698952656,0.47919514409213965,512
8d,87,g_h,0.015369368822388818,0.008874029698952656,0.47919514409213965,512
8d,87,c_th2ctx,0.004538136076141438,0.008874029698952656,0.47919514409213965,512
8d,87,c_ctx2th,0.0045611261581182975,0.008874029698952656,0.47919514409213965,512
8d,108,mue,0.007373906411312563,0.009236806233524896,0.48948749342840064,512
8d,108,mui,0.017375474868252982,0.009236806233524896,0.48948749342840064,512
8d,108,b,0.021542038457939755,0.009236806233524896,0.48948749342840064,512
8d,108,tauA,0.010022589846177059,0.009236806233524896,0.48948749342840064,512
8d,108,g_LK,0.009531079335276037,0.009236806233524896,0.48948749342840064,512
8d,108,g_h,0.014767294930981188,0.009236806233524896,0.48948749342840064,512
8d,108,c_th2ctx,0.011020592393219399,0.009236806233524896,0.48948749342840064,512
8d,108,c_ctx2th,0.005126049599809241,0.009236806233524896,0.48948749342840064,512
8d,130,mue,0.02100247956472711,0.011563859104326689,0.5016856971523781,512
8d,130,mui,0.021278979914601346,0.011563859104326689,0.5016856971523781,512
8d,130,b,0.008291090358094841,0.011563859104326689,0.5016856971523781,512
8d,130,tauA,0.01094202184874993,0.011563859104326689,0.5016856971523781,512
8d,130,g_LK,0.004811531876249928,0.011563859104326689,0.5016856971523781,512
8d,130,g_h,0.03186240802236911,0.011563859104326689,0.5016856971523781,512
8d,130,c_th2ctx,0.01882265594502772,0.011563859104326689,0.5016856971523781,512
8d,130,c_ctx2th,0.0016232291779917237,0.011563859104326689,0.5016856971523781,512
8d,152,mue,0.014003510065574471,0.01902494103888926,0.7293161604074317,512
8d,152,mui,0.035203010130371956,0.01902494103888926,0.7293161604074317,512
8d,152,b,0.08863688499487024,0.01902494103888926,0.7293161604074317,512
8d,152,tauA,0.009421885952241582,0.01902494103888926,0.7293161604074317,512
8d,152,g_LK,0.046007208649192936,0.01902494103888926,0.7293161604074317,512
8d,152,g_h,0.0027934975545818547,0.01902494103888926,0.7293161604074317,512
8d,152,c_th2ctx,0.024827213210847437,0.01902494103888926,0.7293161604074317,512
8d,152,c_ctx2th,0.0018407345317231277,0.01902494103888926,0.7293161604074317,512
8d,174,mue,0.00348698162241528,0.006115034285788643,0.469821323486629,512
8d,174,mui,0.010546561133139003,0.006115034285788643,0.469821323486629,512
8d,174,b,0.03400111651509164,0.006115034285788643,0.469821323486629,512
8d,174,tauA,0.003738050269706205,0.006115034285788643,0.469821323486629,512
8d,174,g_LK,0.0030757264190750286,0.006115034285788643,0.469821323486629,512
8d,174,g_h,0.011620174799147665,0.006115034285788643,0.469821323486629,512
8d,174,c_th2ctx,0.010199292601833419,0.006115034285788643,0.469821323486629,512
8d,174,c_ctx2th,0.000727494994366102,0.006115034285788643,0.469821323486629,512
8d,195,mue,0.0024249835418556328,0.002718539129546337,0.31746877672462903,512
8d,195,mui,0.011595088596013181,0.002718539129546337,0.31746877672462903,512
8d,195,b,0.0028539403211410327,0.002718539129546337,0.31746877672462903,512
8d,195,tauA,0.00216139623753632,0.002718539129546337,0.31746877672462903,512
8d,195,g_LK,0.0038603586227433572,0.002718539129546337,0.31746877672462903,512
8d,195,g_h,0.004432843722837903,0.002718539129546337,0.31746877672462903,512
