track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
8d,member_1,r_exc_mean_hz,0.0662252841564553,0.4840955016451484,0.8631978939457285,True
8d,member_1,r_exc_std_hz,0.1292518660157653,0.5070538871095158,0.745092446184425,True
8d,member_1,r_exc_relative_so_power,0.648030560236128,0.6370372215404273,-0.0172569801637612,False
8d,member_1,r_exc_relative_sigma_power,0.6949558067779917,1.20090363331021,0.4213059337139376,True
8d,member_1,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_1,r_exc_sigma_peak_frequency_hz,1.75,2.0,0.125,True
8d,member_1,r_exc_spectral_entropy_0p5_20,0.1615398627826966,0.699942910687691,0.769209945102545,True
8d,member_1,r_inh_mean_hz,0.0845939929336911,0.507075139530506,0.8331726674432993,True
8d,member_1,r_inh_std_hz,0.1064570214859097,0.5163369064393546,0.7938225601186742,True
8d,member_1,r_inh_relative_so_power,0.7013134648972317,0.7759321507413934,0.09616650859597,True
8d,member_1,r_inh_relative_sigma_power,0.5895232563564465,1.8358007235477087,0.6788740472782987,True
8d,member_1,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_1,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_1,r_inh_spectral_entropy_0p5_20,0.1905164527380054,0.8552273200866184,0.7772329668810045,True
8d,member_2,r_exc_mean_hz,0.0412185572725133,0.4840955016451484,0.914854492280064,True
8d,member_2,r_exc_std_hz,0.0788796822807136,0.5070538871095158,0.8444353070038157,True
8d,member_2,r_exc_relative_so_power,0.357329239574767,0.6370372215404273,0.4390763561496376,True
8d,member_2,r_exc_relative_sigma_power,0.5750942623816175,1.20090363331021,0.521115394749528,True
8d,member_2,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_2,r_exc_sigma_peak_frequency_hz,1.75,2.0,0.125,True
8d,member_2,r_exc_spectral_entropy_0p5_20,0.1685150188897551,0.699942910687691,0.75924462364482,True
8d,member_2,r_inh_mean_hz,0.0541142617266584,0.507075139530506,0.8932815720826658,True
8d,member_2,r_inh_std_hz,0.0816406940023275,0.5163369064393546,0.8418848372367578,True
8d,member_2,r_inh_relative_so_power,0.3924910805556637,0.7759321507413934,0.4941682978587194,True
8d,member_2,r_inh_relative_sigma_power,0.4728261232380639,1.8358007235477087,0.7424414768045622,True
8d,member_2,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_2,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_2,r_inh_spectral_entropy_0p5_20,0.1786404277663459,0.8552273200866184,0.7911193625710494,True
8d,member_3,r_exc_mean_hz,0.0373326577170685,0.4840955016451484,0.9228816264761862,True
8d,member_3,r_exc_std_hz,0.0628919134801519,0.5070538871095158,0.8759660164747574,True
8d,member_3,r_exc_relative_so_power,0.3837713747331602,0.6370372215404273,0.3975683653065702,True
8d,member_3,r_exc_relative_sigma_power,0.6679131860207641,1.20090363331021,0.4438244939107175,True
8d,member_3,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_3,r_exc_sigma_peak_frequency_hz,1.5,2.0,0.25,True
8d,member_3,r_exc_spectral_entropy_0p5_20,0.1189505444837515,0.699942910687691,0.8300567908218641,True
8d,member_3,r_inh_mean_hz,0.043424997126186,0.507075139530506,0.9143618100339278,True
8d,member_3,r_inh_std_hz,0.0827787623606184,0.5163369064393546,0.8396807175155101,True
8d,member_3,r_inh_relative_so_power,0.3921468012447173,0.7759321507413934,0.4946119955591143,True
8d,member_3,r_inh_relative_sigma_power,0.429166279679339,1.8358007235477087,0.7662239293326076,True
8d,member_3,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_3,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_3,r_inh_spectral_entropy_0p5_20,0.1377131853748539,0.8552273200866184,0.8389747589437317,True
8d,member_4,r_exc_mean_hz,0.0574909980373443,0.4840955016451484,0.8812403795491444,True
8d,member_4,r_exc_std_hz,0.0977290166171185,0.5070538871095158,0.8072610838776382,True
8d,member_4,r_exc_relative_so_power,0.4676633997587699,0.6370372215404273,0.2658774339309288,True
8d,member_4,r_exc_relative_sigma_power,0.5992382588260716,1.20090363331021,0.5010105372282772,True
8d,member_4,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_4,r_exc_sigma_peak_frequency_hz,1.75,2.0,0.125,True
8d,member_4,r_exc_spectral_entropy_0p5_20,0.1731100542425445,0.699942910687691,0.7526797520208259,True
