case,member,finite_rate,within_prior_rate,mean_normalized_median_error,boundary_sample_fraction,mean_posterior_std
0,0,1.0,1.0,0.054201010498218224,0.3076171875,0.1150466650724411
0,1,1.0,1.0,0.06463353091385217,0.3525390625,0.11630009114742279
0,2,1.0,1.0,0.07377456419635563,0.4736328125,0.1107284277677536
1,0,1.0,1.0,0.16108623566105967,0.1083984375,0.12272369861602783
1,1,1.0,1.0,0.18188478378579026,0.0869140625,0.12787994742393494
1,2,1.0,1.0,0.17509770533069974,0.09765625,0.13029766082763672
2,0,1.0,1.0,0.11484295979607846,0.0888671875,0.13722270727157593
2,1,1.0,1.0,0.09027832758147263,0.0693359375,0.1370253562927246
2,2,1.0,1.0,0.08845722128171467,0.068359375,0.13642045855522156
3,0,1.0,1.0,0.0932186777936295,0.0908203125,0.14242514967918396
3,1,1.0,1.0,0.10612571553792807,0.064453125,0.14935478568077087
3,2,1.0,1.0,0.10648026026319715,0.064453125,0.14606525003910065
4,0,1.0,1.0,0.15007050766143948,0.0615234375,0.1513669490814209
4,1,1.0,1.0,0.20241066499147567,0.05078125,0.15568257868289948
4,2,1.0,1.0,0.19551708234939727,0.048828125,0.14670440554618835
5,0,1.0,1.0,0.0868663231376558,0.0107421875,0.1506953239440918
5,1,1.0,1.0,0.09873786009848112,0.0146484375,0.15063545107841492
5,2,1.0,1.0,0.0912903335411101,0.013671875,0.15408843755722046
6,0,1.0,1.0,0.18246638367418194,0.017578125,0.12432987987995148
6,1,1.0,1.0,0.15620518068317318,0.0361328125,0.13449129462242126
6,2,1.0,1.0,0.15547943080309773,0.0244140625,0.1347840130329132
7,0,1.0,1.0,0.13071514235343787,0.08203125,0.1374121904373169
7,1,1.0,1.0,0.15658772701863197,0.0625,0.14502297341823578
7,2,1.0,1.0,0.15830214449670169,0.048828125,0.14252474904060364
8,0,1.0,1.0,0.08784672629553826,0.0830078125,0.138877272605896
8,1,1.0,1.0,0.08473077195230876,0.0771484375,0.14251285791397095
8,2,1.0,1.0,0.09549825417343526,0.064453125,0.14791616797447205
9,0,1.0,1.0,0.09560730692464857,0.0126953125,0.13119059801101685
9,1,1.0,1.0,0.09723622736055403,0.0185546875,0.14582428336143494
9,2,1.0,1.0,0.11645473877433687,0.015625,0.14340631663799286
10,0,1.0,1.0,0.06307974271476272,0.0419921875,0.12465229630470276
10,1,1.0,1.0,0.08871920593082908,0.0263671875,0.1436113715171814
10,2,1.0,1.0,0.09248934127390387,0.0390625,0.13854724168777466
11,0,1.0,1.0,0.08540769619867211,0.0146484375,0.14038223028182983
11,1,1.0,1.0,0.0951543464325369,0.015625,0.14673256874084473
11,2,1.0,1.0,0.11006427882239228,0.0224609375,0.14659222960472107
12,0,1.0,1.0,0.1457925050053745,0.1796875,0.1554693579673767
12,1,1.0,1.0,0.09416282153688368,0.0927734375,0.16002491116523743
12,2,1.0,1.0,0.09356057154946025,0.1396484375,0.16584840416908264
13,0,1.0,1.0,0.1155699279624969,0.12890625,0.1352422833442688
13,1,1.0,1.0,0.12527528428472579,0.11328125,0.13566182553768158
13,2,1.0,1.0,0.12778432038612667,0.1259765625,0.134941965341568
14,0,1.0,1.0,0.19146191945765167,0.0224609375,0.14387992024421692
