center,center_model_version,scale,parameter,direction,seed
v7_fitted,v7,0.0,center,center,1103
v7_fitted,v7,0.01,mue,minus,1103
v7_fitted,v7,0.01,mue,plus,1103
v7_fitted,v7,0.01,mui,minus,1103
v7_fitted,v7,0.01,mui,plus,1103
v7_fitted,v7,0.01,b,minus,1103
v7_fitted,v7,0.01,b,plus,1103
v7_fitted,v7,0.01,tauA,minus,1103
v7_fitted,v7,0.01,tauA,plus,1103
v7_fitted,v7,0.01,g_LK,minus,1103
v7_fitted,v7,0.01,g_LK,plus,1103
v7_fitted,v7,0.01,g_h,minus,1103
v7_fitted,v7,0.01,g_h,plus,1103
v7_fitted,v7,0.01,c_th2ctx,minus,1103
v7_fitted,v7,0.01,c_th2ctx,plus,1103
v7_fitted,v7,0.01,c_ctx2th,minus,1103
v7_fitted,v7,0.01,c_ctx2th,plus,1103
v7_fitted,v7,0.02,mue,minus,1103
v7_fitted,v7,0.02,mue,plus,1103
v7_fitted,v7,0.02,mui,minus,1103
v7_fitted,v7,0.02,mui,plus,1103
v7_fitted,v7,0.02,b,minus,1103
v7_fitted,v7,0.02,b,plus,1103
v7_fitted,v7,0.02,tauA,minus,1103
v7_fitted,v7,0.02,tauA,plus,1103
v7_fitted,v7,0.02,g_LK,minus,1103
v7_fitted,v7,0.02,g_LK,plus,1103
v7_fitted,v7,0.02,g_h,minus,1103
v7_fitted,v7,0.02,g_h,plus,1103
v7_fitted,v7,0.02,c_th2ctx,minus,1103
v7_fitted,v7,0.02,c_th2ctx,plus,1103
v7_fitted,v7,0.02,c_ctx2th,minus,1103
v7_fitted,v7,0.02,c_ctx2th,plus,1103
v7_fitted,v7,0.05,mue,minus,1103
v7_fitted,v7,0.05,mue,plus,1103
v7_fitted,v7,0.05,mui,minus,1103
v7_fitted,v7,0.05,mui,plus,1103
v7_fitted,v7,0.05,b,minus,1103
v7_fitted,v7,0.05,b,plus,1103
v7_fitted,v7,0.05,tauA,minus,1103
v7_fitted,v7,0.05,tauA,plus,1103
v7_fitted,v7,0.05,g_LK,minus,1103
v7_fitted,v7,0.05,g_LK,plus,1103
v7_fitted,v7,0.05,g_h,minus,1103
v7_fitted,v7,0.05,g_h,plus,1103
v7_fitted,v7,0.05,c_th2ctx,minus,1103
v7_fitted,v7,0.05,c_th2ctx,plus,1103
v7_fitted,v7,0.05,c_ctx2th,minus,1103
v7_fitted,v7,0.05,c_ctx2th,plus,1103
v7_fitted,v7,0.0,center,center,2207
v7_fitted,v7,0.01,mue,minus,2207
v7_fitted,v7,0.01,mue,plus,2207
v7_fitted,v7,0.01,mui,minus,2207
v7_fitted,v7,0.01,mui,plus,2207
v7_fitted,v7,0.01,b,minus,2207
v7_fitted,v7,0.01,b,plus,2207
v7_fitted,v7,0.01,tauA,minus,2207
v7_fitted,v7,0.01,tauA,plus,2207
v7_fitted,v7,0.01,g_LK,minus,2207
v7_fitted,v7,0.01,g_LK,plus,2207
v7_fitted,v7,0.01,g_h,minus,2207
v7_fitted,v7,0.01,g_h,plus,2207
v7_fitted,v7,0.01,c_th2ctx,minus,2207
v7_fitted,v7,0.01,c_th2ctx,plus,2207
v7_fitted,v7,0.01,c_ctx2th,minus,2207
v7_fitted,v7,0.01,c_ctx2th,plus,2207
v7_fitted,v7,0.02,mue,minus,2207
v7_fitted,v7,0.02,mue,plus,2207
v7_fitted,v7,0.02,mui,minus,2207
v7_fitted,v7,0.02,mui,plus,2207
v7_fitted,v7,0.02,b,minus,2207
v7_fitted,v7,0.02,b,plus,2207
v7_fitted,v7,0.02,tauA,minus,2207
v7_fitted,v7,0.02,tauA,plus,2207
v7_fitted,v7,0.02,g_LK,minus,2207
v7_fitted,v7,0.02,g_LK,plus,2207
v7_fitted,v7,0.02,g_h,minus,2207
v7_fitted,v7,0.02,g_h,plus,2207
v7_fitted,v7,0.02,c_th2ctx,minus,2207
v7_fitted,v7,0.02,c_th2ctx,plus,2207
v7_fitted,v7,0.02,c_ctx2th,minus,2207
v7_fitted,v7,0.02,c_ctx2th,plus,2207
v7_fitted,v7,0.05,mue,minus,2207
v7_fitted,v7,0.05,mue,plus,2207
v7_fitted,v7,0.05,mui,minus,2207
v7_fitted,v7,0.05,mui,plus,2207
v7_fitted,v7,0.05,b,minus,2207
v7_fitted,v7,0.05,b,plus,2207
v7_fitted,v7,0.05,tauA,minus,2207
v7_fitted,v7,0.05,tauA,plus,2207
v7_fitted,v7,0.05,g_LK,minus,2207
v7_fitted,v7,0.05,g_LK,plus,2207
v7_fitted,v7,0.05,g_h,minus,2207
v7_fitted,v7,0.05,g_h,plus,2207
v7_fitted,v7,0.05,c_th2ctx,minus,2207
v7_fitted,v7,0.05,c_th2ctx,plus,2207
v7_fitted,v7,0.05,c_ctx2th,minus,2207
v7_fitted,v7,0.05,c_ctx2th,plus,2207
v7_fitted,v7,0.0,center,center,3301
v7_fitted,v7,0.01,mue,minus,3301
v7_fitted,v7,0.01,mue,plus,3301
v7_fitted,v7,0.01,mui,minus,3301
v7_fitted,v7,0.01,mui,plus,3301
v7_fitted,v7,0.01,b,minus,3301
v7_fitted,v7,0.01,b,plus,3301
v7_fitted,v7,0.01,tauA,minus,3301
v7_fitted,v7,0.01,tauA,plus,3301
v7_fitted,v7,0.01,g_LK,minus,3301
v7_fitted,v7,0.01,g_LK,plus,3301
v7_fitted,v7,0.01,g_h,minus,3301
v7_fitted,v7,0.01,g_h,plus,3301
v7_fitted,v7,0.01,c_th2ctx,minus,3301
v7_fitted,v7,0.01,c_th2ctx,plus,3301
v7_fitted,v7,0.01,c_ctx2th,minus,3301
v7_fitted,v7,0.01,c_ctx2th,plus,3301
v7_fitted,v7,0.02,mue,minus,3301
v7_fitted,v7,0.02,mue,plus,3301
v7_fitted,v7,0.02,mui,minus,3301
v7_fitted,v7,0.02,mui,plus,3301
v7_fitted,v7,0.02,b,minus,3301
v7_fitted,v7,0.02,b,plus,3301
v7_fitted,v7,0.02,tauA,minus,3301
v7_fitted,v7,0.02,tauA,plus,3301
v7_fitted,v7,0.02,g_LK,minus,3301
v7_fitted,v7,0.02,g_LK,plus,3301
v7_fitted,v7,0.02,g_h,minus,3301
v7_fitted,v7,0.02,g_h,plus,3301
v7_fitted,v7,0.02,c_th2ctx,minus,3301
v7_fitted,v7,0.02,c_th2ctx,plus,3301
v7_fitted,v7,0.02,c_ctx2th,minus,3301
v7_fitted,v7,0.02,c_ctx2th,plus,3301
v7_fitted,v7,0.05,mue,minus,3301
v7_fitted,v7,0.05,mue,plus,3301
v7_fitted,v7,0.05,mui,minus,3301
v7_fitted,v7,0.05,mui,plus,3301
v7_fitted,v7,0.05,b,minus,3301
v7_fitted,v7,0.05,b,plus,3301
v7_fitted,v7,0.05,tauA,minus,3301
v7_fitted,v7,0.05,tauA,plus,3301
v7_fitted,v7,0.05,g_LK,minus,3301
v7_fitted,v7,0.05,g_LK,plus,3301
v7_fitted,v7,0.05,g_h,minus,3301
v7_fitted,v7,0.05,g_h,plus,3301
v7_fitted,v7,0.05,c_th2ctx,minus,3301
v7_fitted,v7,0.05,c_th2ctx,plus,3301
v7_fitted,v7,0.05,c_ctx2th,minus,3301
v7_fitted,v7,0.05,c_ctx2th,plus,3301
v8_fitted,v8,0.0,center,center,1103
v8_fitted,v8,0.01,mue,minus,1103
v8_fitted,v8,0.01,mue,plus,1103
v8_fitted,v8,0.01,mui,minus,1103
v8_fitted,v8,0.01,mui,plus,1103
v8_fitted,v8,0.01,b,minus,1103
v8_fitted,v8,0.01,b,plus,1103
v8_fitted,v8,0.01,tauA,minus,1103
v8_fitted,v8,0.01,tauA,plus,1103
v8_fitted,v8,0.01,g_LK,minus,1103
v8_fitted,v8,0.01,g_LK,plus,1103
v8_fitted,v8,0.01,g_h,minus,1103
v8_fitted,v8,0.01,g_h,plus,1103
v8_fitted,v8,0.01,c_th2ctx,minus,1103
v8_fitted,v8,0.01,c_th2ctx,plus,1103
v8_fitted,v8,0.01,c_ctx2th,minus,1103
v8_fitted,v8,0.01,c_ctx2th,plus,1103
v8_fitted,v8,0.02,mue,minus,1103
v8_fitted,v8,0.02,mue,plus,1103
v8_fitted,v8,0.02,mui,minus,1103
v8_fitted,v8,0.02,mui,plus,1103
v8_fitted,v8,0.02,b,minus,1103
v8_fitted,v8,0.02,b,plus,1103
v8_fitted,v8,0.02,tauA,minus,1103
v8_fitted,v8,0.02,tauA,plus,1103
v8_fitted,v8,0.02,g_LK,minus,1103
v8_fitted,v8,0.02,g_LK,plus,1103
v8_fitted,v8,0.02,g_h,minus,1103
