center,scale,seed,effective_rank,condition_number,relative_singular_1,relative_singular_2,relative_singular_3,relative_singular_4,relative_singular_5,relative_singular_6,relative_singular_7,relative_singular_8
v7_fitted,0.01,1103,8,55.011297136931844,1.0,0.46542677516912767,0.2720746396388363,0.19150306466734812,0.11108584038866828,0.04485465556427244,0.02752779173569871,0.018178084358033614
v7_fitted,0.02,1103,8,29.67995470621572,1.0,0.35764748684499553,0.31394941070015686,0.18966848694282742,0.11009149108263305,0.09226519055943799,0.04730291908485134,0.033692773789529236
v7_fitted,0.05,1103,8,41.550351005236614,1.0,0.44086042131773984,0.3294950787039639,0.20255746927438173,0.14379794681226893,0.08331345745916965,0.030899635749709733,0.024067185374053023
v7_fitted,0.01,2207,8,80.93447359402643,1.0,0.7008331777845853,0.42893082249049824,0.36116618231722764,0.2892937414453486,0.07927099445138726,0.04602561762212634,0.012355674357209972
v7_fitted,0.02,2207,8,28.084802594602444,1.0,0.6924492994916668,0.4421106559442245,0.26468871750582257,0.25176527872404536,0.13764308883887216,0.049998799278449725,0.03560644575056361
v7_fitted,0.05,2207,8,36.99195056666126,1.0,0.6656637512477086,0.5094913368538672,0.3844026875378305,0.19828030844497724,0.16134435040779765,0.07162191167164561,0.027032908097072424
v7_fitted,0.01,3301,8,27.29873713011357,1.0,0.8643820287810074,0.5738962916234208,0.3539487939679206,0.25790325780906986,0.15867318585456253,0.13114619631071414,0.036631731176197446
v7_fitted,0.02,3301,8,38.87075437684664,1.0,0.734690135552372,0.5709734501330134,0.2951833557185537,0.1566432266600418,0.10068028191391933,0.08728766366615907,0.02572628229195495
v7_fitted,0.05,3301,8,20.772473379977033,1.0,0.6255104914965331,0.4651887159358539,0.27182946286156545,0.17001704840757267,0.11814384848209193,0.08036207393292018,0.04814063215812896
v8_fitted,0.01,1103,8,45.199057650260286,1.0,0.6666591593947437,0.4481724371120147,0.3061868974826028,0.23455081798684155,0.14399044446016307,0.05254509492160583,0.02212435506372203
v8_fitted,0.02,1103,8,48.89798348620116,1.0,0.5441613956086551,0.3297446202039125,0.29706765532971674,0.14354972170501423,0.060488472172444886,0.037854526714831666,0.020450741087967288
v8_fitted,0.05,1103,8,34.28201194524383,1.0,0.4222002559532126,0.3029472117525939,0.1751300278135047,0.13111666884557394,0.08363042195565741,0.069434523098728,0.029169816567278125
v8_fitted,0.01,2207,8,31.94901672270193,1.0,0.5884753340669558,0.3965596686255292,0.3711288996630346,0.14233307059233943,0.10064295011619193,0.05850445135971729,0.03129986780749445
v8_fitted,0.02,2207,8,47.835695794379525,1.0,0.6140984264340195,0.36173018734624524,0.30419732280136863,0.2739129516431337,0.1030928835978768,0.0294263456779282,0.02090489086431341
v8_fitted,0.05,2207,8,27.03361759526335,1.0,0.4620150296315973,0.33488992250697813,0.18130597175257296,0.1530255561282584,0.09159008447805723,0.07109967566349731,0.03699097971169102
v8_fitted,0.01,3301,8,67.38235665909372,1.0,0.44670473859483817,0.40041348058418114,0.21214136144562534,0.19803106681998617,0.17378496887452385,0.0867587356127453,0.014840680106504451
v8_fitted,0.02,3301,8,37.08074033316248,1.0,0.417459151343233,0.31508056077149077,0.23111504319903484,0.17284229300845866,0.09798242140135048,0.08656097774943103,0.026968177846915
v8_fitted,0.05,3301,8,18.854373280001102,1.0,0.4629734979517334,0.23794826693203888,0.20823808019506532,0.17731360288360168,0.12355586890247974,0.07627640231831283,0.05303809281535247
v8a_local_best,0.01,1103,8,42.09608467126604,1.0,0.5067205738095334,0.25739601602132806,0.19470747711218322,0.14034679761552932,0.07814941874381144,0.04980663349034128,0.02375517836894176
v8a_local_best,0.02,1103,8,36.935061910405565,1.0,0.6197980081134141,0.342520539029227,0.17967208707072113,0.1372272325729869,0.12026218901718036,0.04753108547810238,0.027074545114496588
v8a_local_best,0.05,1103,8,51.51821882336368,1.0,0.34587132911146246,0.19253529580786818,0.15800277665748955,0.08916777656401761,0.049364427433314526,0.03280945070826327,0.019410608962018242
v8a_local_best,0.01,2207,8,42.62609861381608,1.0,0.678847743539378,0.3908263564064767,0.22469842002039092,0.18271748655397796,0.114717961229925,0.05666176670791108,0.023459805905762094
v8a_local_best,0.02,2207,8,38.322962441766514,1.0,0.6439693365828654,0.48202046690711775,0.2899498271640398,0.16633561882771322,0.07785896345489594,0.05380129509191782,0.02609401612726431
v8a_local_best,0.05,2207,8,32.26747172530053,1.0,0.3072324936500521,0.2508230564322757,0.13284661632040362,0.1111109915723142,0.07783477328163817,0.0346894685351863,0.030990962307589538
v8a_local_best,0.01,3301,8,44.42969268805293,1.0,0.5876184262879638,0.46617889773231946,0.24049474051025407,0.15029745879597067,0.11460681006134318,0.0425085375552797,0.02250747055625929
v8a_local_best,0.02,3301,8,73.37061068445726,1.0,0.44679092874844195,0.3498914558901531,0.18279993060661046,0.11742041989123835,0.06640097034922544,0.015092198494427148,0.013629435419321632
v8a_local_best,0.05,3301,8,40.59840039563079,1.0,0.37579804923017956,0.2599356500334965,0.14724814788742746,0.09584309261793413,0.05708580127902586,0.05188367258551709,0.024631512331890305
