center,scale,parameter,seed_a,seed_b,direction_cosine
v7_fitted,0.01,mue,1103,2207,0.522824354157273
v7_fitted,0.01,mue,1103,3301,-0.3793709932843996
v7_fitted,0.01,mue,2207,3301,-0.2322066166469158
v7_fitted,0.01,mui,1103,2207,-0.0008472583649568953
v7_fitted,0.01,mui,1103,3301,-0.45501377648714214
v7_fitted,0.01,mui,2207,3301,0.38579179903129607
v7_fitted,0.01,b,1103,2207,0.5666285280613972
v7_fitted,0.01,b,1103,3301,-0.9628475024009416
v7_fitted,0.01,b,2207,3301,-0.6231238532490111
v7_fitted,0.01,tauA,1103,2207,0.6949373700807616
v7_fitted,0.01,tauA,1103,3301,-0.348238290331346
v7_fitted,0.01,tauA,2207,3301,-0.3997552677292835
v7_fitted,0.01,g_LK,1103,2207,-0.32907808683777984
v7_fitted,0.01,g_LK,1103,3301,-0.20752267949393335
v7_fitted,0.01,g_LK,2207,3301,0.2041120964441313
v7_fitted,0.01,g_h,1103,2207,-0.3212946747389494
v7_fitted,0.01,g_h,1103,3301,0.1777019282243413
v7_fitted,0.01,g_h,2207,3301,0.7968540053978606
v7_fitted,0.01,c_th2ctx,1103,2207,-0.8398908996889218
v7_fitted,0.01,c_th2ctx,1103,3301,0.5822767730711529
v7_fitted,0.01,c_th2ctx,2207,3301,-0.7508135775511233
v7_fitted,0.01,c_ctx2th,1103,2207,-0.3653435180260255
v7_fitted,0.01,c_ctx2th,1103,3301,0.4546510835839643
v7_fitted,0.01,c_ctx2th,2207,3301,0.24074210315477912
v7_fitted,0.02,mue,1103,2207,0.12279073364331534
v7_fitted,0.02,mue,1103,3301,0.4464879166969229
v7_fitted,0.02,mue,2207,3301,-0.3400636290146806
v7_fitted,0.02,mui,1103,2207,-0.11040506873475173
v7_fitted,0.02,mui,1103,3301,0.023269896489635993
v7_fitted,0.02,mui,2207,3301,-0.024342221835094203
v7_fitted,0.02,b,1103,2207,0.7402805521214222
v7_fitted,0.02,b,1103,3301,0.27643515003210245
v7_fitted,0.02,b,2207,3301,0.07572632010180158
v7_fitted,0.02,tauA,1103,2207,0.6969211909817101
v7_fitted,0.02,tauA,1103,3301,0.3401443074851296
v7_fitted,0.02,tauA,2207,3301,0.6251305120432704
v7_fitted,0.02,g_LK,1103,2207,-0.44429139856883365
v7_fitted,0.02,g_LK,1103,3301,0.46624508881424026
v7_fitted,0.02,g_LK,2207,3301,0.37620404465956975
v7_fitted,0.02,g_h,1103,2207,-0.10162539537045318
v7_fitted,0.02,g_h,1103,3301,0.6327984369812785
v7_fitted,0.02,g_h,2207,3301,-0.49245508819020917
v7_fitted,0.02,c_th2ctx,1103,2207,-0.15835239092951223
v7_fitted,0.02,c_th2ctx,1103,3301,-0.5836963085275809
v7_fitted,0.02,c_th2ctx,2207,3301,0.401804897361448
v7_fitted,0.02,c_ctx2th,1103,2207,0.11564155074358913
v7_fitted,0.02,c_ctx2th,1103,3301,-0.3870042166540576
v7_fitted,0.02,c_ctx2th,2207,3301,0.34320596984879936
v7_fitted,0.05,mue,1103,2207,0.6911773140791031
v7_fitted,0.05,mue,1103,3301,0.3592984761685109
v7_fitted,0.05,mue,2207,3301,0.5482282459779598
v7_fitted,0.05,mui,1103,2207,0.597590796213146
v7_fitted,0.05,mui,1103,3301,-0.23630817213165567
v7_fitted,0.05,mui,2207,3301,0.25617460459058083
v7_fitted,0.05,b,1103,2207,-0.3874077265759267
v7_fitted,0.05,b,1103,3301,0.23931584135639394
v7_fitted,0.05,b,2207,3301,-0.6671078060107387
v7_fitted,0.05,tauA,1103,2207,0.7263048954771397
v7_fitted,0.05,tauA,1103,3301,0.2261285159714934
v7_fitted,0.05,tauA,2207,3301,0.6750208918688063
v7_fitted,0.05,g_LK,1103,2207,0.1772028406428389
v7_fitted,0.05,g_LK,1103,3301,-0.04987268002138496
v7_fitted,0.05,g_LK,2207,3301,0.1783077959368544
v7_fitted,0.05,g_h,1103,2207,0.8486495305634663
v7_fitted,0.05,g_h,1103,3301,0.3393088905872999
v7_fitted,0.05,g_h,2207,3301,0.06387506842908575
v7_fitted,0.05,c_th2ctx,1103,2207,-0.19472458024613648
v7_fitted,0.05,c_th2ctx,1103,3301,0.8224413172373035
v7_fitted,0.05,c_th2ctx,2207,3301,-0.21980809505068669
v7_fitted,0.05,c_ctx2th,1103,2207,-0.006826992814050629
v7_fitted,0.05,c_ctx2th,1103,3301,0.8349035024299102
v7_fitted,0.05,c_ctx2th,2207,3301,0.5194571104099127
v8_fitted,0.01,mue,1103,2207,-0.6452500427984812
v8_fitted,0.01,mue,1103,3301,0.372569975670334
v8_fitted,0.01,mue,2207,3301,-0.5680574912535679
v8_fitted,0.01,mui,1103,2207,-0.528259893836471
v8_fitted,0.01,mui,1103,3301,0.16734654470632793
v8_fitted,0.01,mui,2207,3301,-0.2755677573109172
v8_fitted,0.01,b,1103,2207,-0.608167480809382
v8_fitted,0.01,b,1103,3301,0.09812952959026786
v8_fitted,0.01,b,2207,3301,-0.4617935036156922
v8_fitted,0.01,tauA,1103,2207,-0.11088477543799716
v8_fitted,0.01,tauA,1103,3301,-0.7002498614475198
v8_fitted,0.01,tauA,2207,3301,0.4821437248734693
v8_fitted,0.01,g_LK,1103,2207,0.2857453665373975
v8_fitted,0.01,g_LK,1103,3301,0.29862717981891723
v8_fitted,0.01,g_LK,2207,3301,0.9220734450821318
v8_fitted,0.01,g_h,1103,2207,0.24008799817442558
v8_fitted,0.01,g_h,1103,3301,0.9353877229928222
v8_fitted,0.01,g_h,2207,3301,0.025761418658268954
v8_fitted,0.01,c_th2ctx,1103,2207,-0.26404821311699345
v8_fitted,0.01,c_th2ctx,1103,3301,0.21849942947122888
v8_fitted,0.01,c_th2ctx,2207,3301,-0.40359086853532716
v8_fitted,0.01,c_ctx2th,1103,2207,0.828082823021105
v8_fitted,0.01,c_ctx2th,1103,3301,-0.4369602542725816
v8_fitted,0.01,c_ctx2th,2207,3301,-0.4998992693324361
v8_fitted,0.02,mue,1103,2207,0.5046090989132426
v8_fitted,0.02,mue,1103,3301,0.1054551270675619
v8_fitted,0.02,mue,2207,3301,0.6089469857730992
v8_fitted,0.02,mui,1103,2207,-0.263931216111748
v8_fitted,0.02,mui,1103,3301,0.14599979056212872
v8_fitted,0.02,mui,2207,3301,-0.7205485507521368
v8_fitted,0.02,b,1103,2207,0.9140618811734015
v8_fitted,0.02,b,1103,3301,0.0729059959532052
v8_fitted,0.02,b,2207,3301,0.18384767670586966
v8_fitted,0.02,tauA,1103,2207,-0.0519595467834728
v8_fitted,0.02,tauA,1103,3301,-0.717116625454504
v8_fitted,0.02,tauA,2207,3301,0.26395473828958876
v8_fitted,0.02,g_LK,1103,2207,0.7889493776856352
