center,scale,seed,parameter,sensitivity_norm
v7_fitted,0.01,1103,mue,6.639211841465946
v7_fitted,0.01,1103,mui,4.44400741119968
v7_fitted,0.01,1103,b,27.72293937945359
v7_fitted,0.01,1103,tauA,6.817720020820507
v7_fitted,0.01,1103,g_LK,4.89197371982644
v7_fitted,0.01,1103,g_h,2.0954051110246827
v7_fitted,0.01,1103,c_th2ctx,11.225087983243911
v7_fitted,0.01,1103,c_ctx2th,3.9950859323062757
v7_fitted,0.02,1103,mue,3.82477566514318
v7_fitted,0.02,1103,mui,2.560146636793675
v7_fitted,0.02,1103,b,13.891658582091317
v7_fitted,0.02,1103,tauA,3.806423431749869
v7_fitted,0.02,1103,g_LK,3.6182968371925384
v7_fitted,0.02,1103,g_h,3.2673982792880634
v7_fitted,0.02,1103,c_th2ctx,2.651719168992848
v7_fitted,0.02,1103,c_ctx2th,2.0405459679453104
v7_fitted,0.05,1103,mue,2.2094005146168665
v7_fitted,0.05,1103,mui,1.2592983686701056
v7_fitted,0.05,1103,b,6.449741762056515
v7_fitted,0.05,1103,tauA,2.1376563452235984
v7_fitted,0.05,1103,g_LK,1.5769248922963972
v7_fitted,0.05,1103,g_h,1.0563924648218654
v7_fitted,0.05,1103,c_th2ctx,1.2333639574736166
v7_fitted,0.05,1103,c_ctx2th,1.3840044711132855
v7_fitted,0.01,2207,mue,6.470063913636414
v7_fitted,0.01,2207,mui,6.498168811592928
v7_fitted,0.01,2207,b,10.889820337484313
v7_fitted,0.01,2207,tauA,8.630238537784896
v7_fitted,0.01,2207,g_LK,5.868075498445038
v7_fitted,0.01,2207,g_h,5.585600558984935
v7_fitted,0.01,2207,c_th2ctx,3.8249235464467164
v7_fitted,0.01,2207,c_ctx2th,12.03328152188277
v7_fitted,0.02,2207,mue,1.6383551250531931
v7_fitted,0.02,2207,mui,5.552834247194519
v7_fitted,0.02,2207,b,4.503499303365307
v7_fitted,0.02,2207,tauA,2.6048251727239986
