center,scale,seed,parameter_a,parameter_b,cosine
v7_fitted,0.01,1103,g_LK,g_h,0.7008147033949997
v7_fitted,0.01,1103,c_th2ctx,c_ctx2th,-0.007893357195225716
v7_fitted,0.02,1103,g_LK,g_h,-0.3284987352150306
v7_fitted,0.02,1103,c_th2ctx,c_ctx2th,-0.5611030596760512
v7_fitted,0.05,1103,g_LK,g_h,-0.10368405689248235
v7_fitted,0.05,1103,c_th2ctx,c_ctx2th,-0.6057677775822222
v7_fitted,0.01,2207,g_LK,g_h,0.13242686599738435
v7_fitted,0.01,2207,c_th2ctx,c_ctx2th,-0.19775204162548302
v7_fitted,0.02,2207,g_LK,g_h,-0.4660564153190037
v7_fitted,0.02,2207,c_th2ctx,c_ctx2th,0.10915742949477483
v7_fitted,0.05,2207,g_LK,g_h,0.03939296525331385
v7_fitted,0.05,2207,c_th2ctx,c_ctx2th,0.6190993858617814
v7_fitted,0.01,3301,g_LK,g_h,0.1462907170670282
v7_fitted,0.01,3301,c_th2ctx,c_ctx2th,-0.0313291544388704
v7_fitted,0.02,3301,g_LK,g_h,-0.7788555425427252
v7_fitted,0.02,3301,c_th2ctx,c_ctx2th,-0.2928670214138899
v7_fitted,0.05,3301,g_LK,g_h,0.032912205573867474
v7_fitted,0.05,3301,c_th2ctx,c_ctx2th,-0.3863165082352389
v8_fitted,0.01,1103,g_LK,g_h,0.00861971311767033
v8_fitted,0.01,1103,c_th2ctx,c_ctx2th,0.044680935735898826
v8_fitted,0.02,1103,g_LK,g_h,0.7041197621823051
v8_fitted,0.02,1103,c_th2ctx,c_ctx2th,0.18229445256237417
v8_fitted,0.05,1103,g_LK,g_h,0.9497850043863686
v8_fitted,0.05,1103,c_th2ctx,c_ctx2th,0.7621328459546206
v8_fitted,0.01,2207,g_LK,g_h,0.12093317745519477
v8_fitted,0.01,2207,c_th2ctx,c_ctx2th,0.32932157990883126
v8_fitted,0.02,2207,g_LK,g_h,0.6483851834306821
v8_fitted,0.02,2207,c_th2ctx,c_ctx2th,0.6365718530089094
v8_fitted,0.05,2207,g_LK,g_h,0.9076703373480123
v8_fitted,0.05,2207,c_th2ctx,c_ctx2th,0.42651501145886117
v8_fitted,0.01,3301,g_LK,g_h,0.946763550668121
v8_fitted,0.01,3301,c_th2ctx,c_ctx2th,0.5143880066472619
v8_fitted,0.02,3301,g_LK,g_h,0.9074615230184012
v8_fitted,0.02,3301,c_th2ctx,c_ctx2th,-0.09587651971487679
v8_fitted,0.05,3301,g_LK,g_h,0.939986619238633
v8_fitted,0.05,3301,c_th2ctx,c_ctx2th,0.2083309326232934
v8a_local_best,0.01,1103,g_LK,g_h,0.1094258610757436
v8a_local_best,0.01,1103,c_th2ctx,c_ctx2th,-0.8499740977834581
v8a_local_best,0.02,1103,g_LK,g_h,0.2288838975187841
v8a_local_best,0.02,1103,c_th2ctx,c_ctx2th,0.9281236774245266
v8a_local_best,0.05,1103,g_LK,g_h,0.7586476678998706
v8a_local_best,0.05,1103,c_th2ctx,c_ctx2th,0.44820837314725054
v8a_local_best,0.01,2207,g_LK,g_h,0.3566819900776416
v8a_local_best,0.01,2207,c_th2ctx,c_ctx2th,0.12124810464352953
v8a_local_best,0.02,2207,g_LK,g_h,0.9025808606173272
v8a_local_best,0.02,2207,c_th2ctx,c_ctx2th,-0.7799827788645439
v8a_local_best,0.05,2207,g_LK,g_h,0.9096023596974377
v8a_local_best,0.05,2207,c_th2ctx,c_ctx2th,0.7991618757358906
v8a_local_best,0.01,3301,g_LK,g_h,-0.64912773034638
v8a_local_best,0.01,3301,c_th2ctx,c_ctx2th,0.7005526370431471
v8a_local_best,0.02,3301,g_LK,g_h,0.6496501229368861
v8a_local_best,0.02,3301,c_th2ctx,c_ctx2th,-0.07608308644498822
v8a_local_best,0.05,3301,g_LK,g_h,0.7236979293030879
v8a_local_best,0.05,3301,c_th2ctx,c_ctx2th,0.7825268241224947
