feature,within_theta_seed_variance,between_theta_variance,between_to_within_snr,unique_values_min_across_seeds,quantized_or_degenerate_warning
r_exc_mean_hz,0.003942670604201852,4.53103803217309,1149.2306832186773,128,False
r_exc_std_hz,0.008025818813114498,3.7663115525819633,469.2744304702798,128,False
r_exc_relative_so_power,0.00010665108525516617,0.02621097969391978,245.76383476276087,128,False
r_exc_relative_sigma_power,5.000050733224575e-06,0.0011617582953308862,232.34930150031866,128,False
r_exc_so_peak_frequency_hz,0.00439453125,0.08493231558945752,19.326820258578778,5,True
r_exc_sigma_peak_frequency_hz,0.2778320312499997,0.4242519001531059,1.5270085966846427,12,True
r_exc_spectral_entropy_0p5_20,8.721129015289013e-05,0.0030817292326500456,35.33635641953542,128,False
r_inh_mean_hz,0.05184609707336434,89.08735810824926,1718.3040409423108,128,False
r_inh_std_hz,0.018118267097481617,7.1093762555639675,392.38720884913704,128,False
r_inh_relative_so_power,0.00018592976123314,0.04345845725903957,233.735884835276,128,False
r_inh_relative_sigma_power,5.718980412978293e-06,0.002017571030522585,352.78509189226054,128,False
r_inh_so_peak_frequency_hz,0.0029296875,0.0907699037620298,30.982793817439504,5,True
r_inh_sigma_peak_frequency_hz,0.24186197916666632,0.7584784934109801,3.1359972163641103,13,True
r_inh_spectral_entropy_0p5_20,0.00011233702278093985,0.0058028934477045695,51.656108592270286,128,False
