sample_id,simulator_seed,success,fully_finite,runtime_s,failure_reason,split
0,710001,True,True,10.269797799992375,,validation
1,814730,True,True,10.492347300052643,,train
2,919459,True,True,10.415512899984606,,train
3,1024188,True,True,10.40567510004621,,validation
4,1128917,True,True,10.4637469999725,,train
5,1233646,True,True,10.414714099955745,,train
6,1338375,True,True,5.141251499997452,,validation
7,1443104,True,True,5.2473270000191405,,train
8,1547833,True,True,5.726471100002527,,train
9,1652562,True,True,5.2606742000207305,,train
10,1757291,True,True,5.770252499962226,,train
11,1862020,True,True,5.823382800095715,,train
12,1966749,True,True,5.974212300032377,,train
13,2071478,True,True,5.499311799998395,,train
14,2176207,True,True,6.012400400009938,,train
15,2280936,True,True,5.441509900032543,,train
16,2385665,True,True,5.4440902000060305,,train
17,2490394,True,True,5.3581889000488445,,train
18,2595123,True,True,5.434611200005747,,train
19,2699852,True,True,5.371435899985954,,train
20,2804581,True,True,5.511653900030069,,train
21,2909310,True,True,5.528610400040634,,train
22,3014039,True,True,5.595414999988861,,validation
23,3118768,True,True,5.560061800060794,,validation
24,3223497,True,True,5.3909502000315115,,train
25,3328226,True,True,5.274780499981716,,train
26,3432955,True,True,5.331474200007506,,train
27,3537684,True,True,5.288995899958536,,train
28,3642413,True,True,5.302157999947667,,train
29,3747142,True,True,5.2824975999537855,,train
30,3851871,True,True,5.427259900025092,,train
31,3956600,True,True,5.487297600018792,,validation
32,4061329,True,True,5.5817210000241175,,train
33,4166058,True,True,5.527858699904755,,validation
34,4270787,True,True,5.4776121999602765,,train
35,4375516,True,True,5.521206800010987,,train
36,4480245,True,True,5.576999499928206,,train
37,4584974,True,True,5.502060999977402,,train
38,4689703,True,True,5.555751500069164,,validation
39,4794432,True,True,5.584248999948613,,train
40,4899161,True,True,5.624415899976157,,validation
41,5003890,True,True,6.1758701000362635,,train
42,5108619,True,True,5.979649499990046,,train
43,5213348,True,True,5.329488500021398,,train
44,5318077,True,True,5.36135500005912,,train
45,5422806,True,True,5.368600900052115,,train
46,5527535,True,True,5.326071599964052,,validation
47,5632264,True,True,5.391462800092995,,validation
48,5736993,True,True,5.546421499922872,,train
49,5841722,True,True,5.630773100070655,,train
50,5946451,True,True,5.685033799964003,,train
51,6051180,True,True,5.6535902000032365,,train
52,6155909,True,True,5.652202900033444,,validation
53,6260638,True,True,5.563246099976823,,train
54,6365367,True,True,5.403665299993008,,train
55,6470096,True,True,5.434520100010559,,train
56,6574825,True,True,5.387504899990745,,validation
57,6679554,True,True,5.41650299995672,,train
58,6784283,True,True,5.388935000053607,,train
59,6889012,True,True,5.572289600037038,,train
60,6993741,True,True,5.522284200065769,,train
61,7098470,True,True,5.677398399915546,,train
62,7203199,True,True,5.676841099979356,,validation
63,7307928,True,True,5.780564899905585,,train
64,7412657,True,True,5.725489699980244,,train
65,7517386,True,True,5.6257735000690445,,validation
66,7622115,True,True,5.499868000042625,,train
67,7726844,True,True,5.521060599945486,,train
68,7831573,True,True,5.619203999987803,,train
69,7936302,True,True,5.5271900000516325,,train
70,8041031,True,True,5.545850099995732,,train
71,8145760,True,True,5.4235476000467315,,validation
72,8250489,True,True,5.699505400029011,,train
73,8355218,True,True,5.67596419993788,,train
74,8459947,True,True,5.723043599980883,,train
75,8564676,True,True,5.612143000005744,,validation
76,8669405,True,True,5.705374399898574,,validation
77,8774134,True,True,5.731902200030163,,train
78,8878863,True,True,5.540939699974842,,train
79,8983592,True,True,5.603484499966726,,train
80,9088321,True,True,5.485658099991269,,train
81,9193050,True,True,5.48037150001619,,train
82,9297779,True,True,5.551248800009489,,train
83,9402508,True,True,5.685179800027981,,train
84,9507237,True,True,5.682213200023398,,train
85,9611966,True,True,5.742852700059302,,train
86,9716695,True,True,5.73883940000087,,validation
87,9821424,True,True,5.8593587999930605,,validation
88,9926153,True,True,5.6461687999544665,,train
89,10030882,True,True,5.583445600001141,,validation
90,10135611,True,True,5.6696181000443175,,train
91,10240340,True,True,5.451931199990213,,train
92,10345069,True,True,5.529554300010204,,train
93,10449798,True,True,5.4996926001040265,,train
94,10554527,True,True,5.512924799928442,,train
95,10659256,True,True,5.450655300053768,,train
96,10763985,True,True,5.680241300025955,,train
97,10868714,True,True,5.798220800003037,,train
98,10973443,True,True,5.888749400037341,,train
99,11078172,True,True,5.760131300077774,,train
