subject_id,epoch_idx
SC4001,5
SC4001,7
SC4001,10
SC4001,11
SC4002,2
SC4002,3
SC4002,6
SC4002,7
SC4002,8
SC4002,9
SC4002,10
SC4002,12
SC4002,14
SC4002,15
SC4002,17
SC4002,18
SC4011,1
SC4011,2
SC4011,3
SC4011,5
SC4011,6
SC4011,7
SC4011,8
SC4011,9
SC4011,10
SC4011,11
SC4011,12
SC4011,13
SC4011,14
SC4012,0
SC4012,4
SC4012,6
SC4012,11
SC4012,13
SC4012,14
SC4012,16
SC4021,1
SC4021,2
SC4021,6
SC4021,8
SC4022,0
SC4022,1
SC4022,2
SC4022,5
SC4031,0
SC4031,1
SC4031,2
SC4031,4
SC4031,6
SC4031,10
SC4032,4
SC4032,9
SC4032,10
SC4041,1
SC4041,2
SC4041,6
SC4041,8
SC4041,15
SC4041,16
SC4041,17
SC4041,18
SC4041,19
SC4041,20
SC4041,21
SC4041,22
SC4041,23
SC4041,25
SC4041,26
SC4041,28
SC4041,29
SC4042,2
SC4042,3
SC4042,7
SC4042,8
SC4042,12
