i,j,k,g_LK,g_h,c_ctx2th,sp_peak_power_log,sp_env_cv,n_events_raw,n_events_valid,n_events_verified,mean_event_dur,pac_mi,ctx_min,ctx_max,ctx_ibi_cv,ctx_n_bursts,ok,fail_reason
0,0,0,0.02,0.02,0.02,1.832662120275855,0.23074987922071175,22,22,21,0.5925454545454545,0.00013342819980982802,7.5633050518988e-11,65.05893436988401,0.39770297920786224,54,True,
0,0,1,0.02,0.02,0.065,1.9314313798174452,0.2348035030519943,23,23,23,0.5083478260869566,0.0003861042183962092,5.726740154322037e-11,63.629034317869134,0.5777533137776424,62,True,
0,0,2,0.02,0.02,0.11000000000000001,1.902566394156063,0.23225347108661365,25,25,25,0.48288000000000003,0.0003910875970250472,5.1874555512235126e-11,63.37945610684216,0.4355746776620255,55,True,
0,0,3,0.02,0.02,0.155,1.8275156201371447,0.22026380213203844,18,18,18,0.6682222222222223,0.0003389120695923505,1.0986248286962543e-10,66.36322330913043,0.32621231411010343,50,True,
0,0,4,0.02,0.02,0.2,1.8542758660717051,0.2235409720420561,18,18,18,0.6728888888888889,0.000475322309517453,3.151325917880875e-11,64.60101882958084,0.42616700354982456,54,True,
0,1,0,0.02,0.025714285714285714,0.02,1.8825654144581208,0.21822490210432752,13,13,13,0.7219230769230769,0.00012060776926669224,4.577289528426155e-11,64.41246869381641,0.46204709627963636,58,True,
0,1,1,0.02,0.025714285714285714,0.065,2.012310262520338,0.208498632570138,17,17,17,0.694764705882353,0.0002290081985514136,2.5255677965716586e-11,64.02943638261743,0.4799586054308648,56,True,
0,1,2,0.02,0.025714285714285714,0.11000000000000001,1.9798105803635206,0.21385905313686954,13,13,13,0.6603076923076923,0.00044085374547319826,3.912091261635076e-11,64.80836877885017,0.4790954489655477,58,True,
0,1,3,0.02,0.025714285714285714,0.155,2.024984658381954,0.2208050113481877,23,23,23,0.5309130434782608,0.0008143511611085529,5.729657403335959e-11,66.2809940894714,0.2862450162615034,50,True,
0,1,4,0.02,0.025714285714285714,0.2,1.8632381115345305,0.2467582467753736,24,24,24,0.5377500000000001,0.0010744300168965592,4.5672897645421846e-11,63.58127378324582,0.46126262888125513,57,True,
0,2,0,0.02,0.03142857142857143,0.02,2.357620199930568,0.17566697272719253,21,21,21,0.6194285714285716,7.946621726473974e-05,2.6250789764175952e-11,66.45351410186122,0.3944479340686692,53,True,
0,2,1,0.02,0.03142857142857143,0.065,2.3255028053229583,0.17405156957878307,22,22,22,0.5741818181818181,0.0001589798423255503,1.3157664142461509e-11,64.46735667710342,0.49855478371515916,58,True,
