seed_id,mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,seed_score,feasible,seed_n_passed,shape_r,so_power,spindle_power,thal_spindle_power,ctx_spindle_power,T1,T1_min_rE,T2,T2_max_rE,T3,T3_longest_ms,T4,T4_freq,T4_q,T5,T5_fwhm,T6,T6_ibi_cv,T6_n_bursts,T7,T7_sp_cv,T8,T8_n_sp_events,T8_mean_sp_dur,T9,T9_mi,T10,T10_phase,T10_dist_tgt,T11,T11_lag_ms,T12,T12_n_verified,T13,T13_n_ctx_events,T13_n_ctx_verified,T13_ctx_density_per_min,T13_ctx_verified_density_per_min,T13_mean_ctx_dur,eval,failed_constraints,seed_group,seed_failed_constraints
seed_000,4.151310357840672,2.719275889607868,32.472799040782654,1418.554270319543,0.0512190377789051,0.053042531693851,0.0293316966877503,0.1318305472764198,-0.421538,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.572,1,213.0,1,1.5,3.438,1,1.75,0,0.548,108,1,0.75,1,14,0.6,1,0.0198,1,-0.175,0.175,1,1.593,1,10,1,2,1,2.182,1.091,0.591,48,T6,A_best_T6_only_12of13,T6
seed_001,3.903699539343184,2.7457825847535133,35.62761139989202,1819.6851084245195,0.0554756051695327,0.0549916808343278,0.0183269481548095,0.0826698996560287,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.718,1,195.0,1,1.0,2.164,1,4.0,1,0.398,60,1,1.024,1,23,0.424,1,0.09183,1,-0.175,0.175,1,4.695,1,9,0,1,0,1.091,0.0,0.552,148,T13,B_top10_T13_only_12of13,T13
seed_002,3.625575827740743,2.842688948040038,34.04096375540079,1228.2509737101227,0.052963989043684,0.0501858829516828,0.0324638927733084,0.123069272315586,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,60.268,1,182.0,1,1.5,3.492,1,3.0,1,0.389,93,1,0.748,1,20,0.593,1,0.03397,1,-0.175,0.175,1,1.439,1,10,0,6,0,6.545,0.0,0.799,199,T13,B_top10_T13_only_12of13,T13
seed_003,3.853741329685517,2.7451198907553738,41.59719855906966,1535.8970550669158,0.0568559526182024,0.0703534947417782,0.029982733746467,0.1805586919658994,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,57.749,1,158.0,1,1.0,2.567,1,1.25,1,0.175,56,1,1.443,1,17,0.809,1,0.01647,1,0.175,0.175,1,1.502,1,14,0,4,0,4.364,0.0,0.615,287,T13,B_top10_T13_only_12of13,T13
seed_004,3.766238730158565,2.789484884293444,41.56461684033427,1472.9758136305854,0.0526647603957755,0.0503884039281327,0.0189601837776432,0.1290545256304285,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,56.503,1,164.0,1,1.0,2.22,1,1.75,1,0.308,65,1,0.756,1,19,0.473,1,0.02277,1,-0.175,0.175,1,1.745,1,13,0,0,0,0.0,0.0,0.0,326,T13,B_top10_T13_only_12of13,T13
seed_005,4.044812222859966,2.986259830314187,42.58382290152464,1759.5169116535228,0.0524611554507583,0.0542621104882901,0.0071026810163418,0.1094527015273016,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,61.664,1,168.0,1,0.75,2.479,1,2.75,1,0.243,48,1,0.819,1,20,0.478,1,0.01265,1,0.175,0.175,1,1.401,1,13,0,0,0,0.0,0.0,0.0,531,T13,B_top10_T13_only_12of13,T13
seed_006,3.621452194319645,3.2292302391692207,34.69854243198724,1213.3673327590382,0.0572803967915485,0.0693394442073926,0.0310007101649246,0.0601566632317061,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,61.397,1,214.0,1,1.0,2.308,1,1.75,1,0.397,57,1,1.523,1,17,0.809,1,0.03079,1,0.175,0.175,1,2.254,1,9,0,0,0,0.0,0.0,0.0,538,T13,B_top10_T13_only_12of13,T13
seed_007,3.8375049066363736,2.9129347451602494,38.74044287891681,1271.5129372971933,0.0547442771191811,0.066355059105046,0.0208044070952597,0.089479891388354,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.904,1,189.0,1,1.0,2.893,1,3.25,1,0.361,67,1,1.379,1,29,0.474,1,0.0209,1,2.269,0.873,1,1.465,1,8,0,1,0,1.091,0.0,0.516,585,T13,B_top10_T13_only_12of13,T13
seed_008,3.81270411269988,3.058756216312519,39.43618281797264,1811.3526752678872,0.0663559694560084,0.0606059982232789,0.0463234544966293,0.1446372344614181,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,60.913,1,176.0,1,0.75,2.695,1,3.25,1,0.397,45,1,2.236,1,13,1.002,1,0.01958,1,0.175,0.175,1,1.923,1,6,0,2,0,2.182,0.0,0.521,735,T13,B_top10_T13_only_12of13,T13
seed_009,3.93026929289105,2.755265919838701,40.07098180234497,1513.0913602265875,0.0535063471799688,0.054631896113788,0.0178030270342277,0.1411132243252786,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.111,1,167.0,1,1.0,2.313,1,3.0,1,0.391,72,1,0.901,1,24,0.421,1,0.07083,1,-0.175,0.175,1,3.966,1,12,0,0,0,0.0,0.0,0.0,902,T13,B_top10_T13_only_12of13,T13
seed_010,3.82454730980142,3.0638749894568127,30.65426189900231,1753.6008996528292,0.0559846879765861,0.064229888037062,0.0201849983722642,0.1800480523490328,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,61.779,1,223.0,1,0.75,3.479,1,3.0,1,0.334,45,1,1.26,1,26,0.484,1,0.03182,1,0.175,0.175,1,1.582,1,16,0,1,0,1.091,0.0,0.503,938,T13,B_top10_T13_only_12of13,T13
seed_011,4.230510493115574,3.12575169214885,40.119284113587085,1544.0074079321037,0.0517036213014169,0.0545213718491854,0.0207707779901037,0.1488326099489233,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,60.176,1,186.0,1,1.25,2.657,1,2.5,1,0.392,76,1,0.846,1,22,0.448,1,0.03006,1,-0.175,0.175,1,2.175,1,15,0,0,0,0.0,0.0,0.0,3493,T13,D_top10_SO_stable,T13
seed_012,3.511249143115917,2.88268813554754,30.716512197841425,1422.9691253577946,0.0514075739611871,0.0618902118197103,0.0249171230841486,0.1440719845254901,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.896,1,230.0,1,0.75,2.752,1,2.75,1,0.307,53,1,0.995,1,24,0.452,1,0.07051,1,-0.175,0.175,1,3.825,1,19,0,1,0,1.091,0.0,0.546,3548,T13,D_top10_SO_stable,T13
seed_013,4.141134388102072,2.964023558809309,37.24027475244635,1725.7881876210613,0.0545931475385084,0.0533023974045604,0.0269439211436204,0.1176476712083735,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.578,1,193.0,1,1.0,2.633,1,1.75,1,0.334,68,1,0.923,1,20,0.476,1,0.07203,1,-0.175,0.175,1,3.826,1,9,0,1,0,1.091,0.0,0.521,3609,T13,D_top10_SO_stable,T13
seed_014,4.236678158659914,2.891687613998771,40.262992359378416,1645.3129870729515,0.0538597858898878,0.0529128303512837,0.0391878799701248,0.1850257277186896,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,57.085,1,192.0,1,1.25,2.877,1,3.0,1,0.35,77,1,0.854,1,20,0.491,1,0.04938,1,0.175,0.175,1,2.446,1,9,0,4,0,4.364,0.0,0.653,3632,T13,D_top10_SO_stable,T13
seed_015,3.978695122722486,2.601007833552881,31.08409260216205,1559.808043439905,0.052850000885625,0.0555798385202904,0.0195325758137091,0.1752225098126877,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,58.092,1,228.0,1,1.0,3.245,1,2.75,1,0.364,73,1,0.903,1,19,0.527,1,0.03378,1,0.175,0.175,1,2.386,1,14,0,1,0,1.091,0.0,0.531,3260,T13,D_top10_SO_stable,T13
seed_016,4.039446011529979,3.061432965191817,35.24129545702456,1354.2682500734384,0.0520170758137584,0.0576101198560976,0.0171244555467084,0.1558392411519807,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,63.182,1,210.0,1,1.0,3.578,1,2.5,1,0.373,67,1,0.918,1,22,0.505,1,0.01427,1,0.175,0.175,1,1.52,1,18,0,1,0,1.091,0.0,0.57,3268,T13,D_top10_SO_stable,T13
seed_017,4.431261932014973,3.2659876966001287,35.74030931216623,1451.4575452682811,0.053783386133212,0.0625241568490531,0.0167392056614775,0.0832488069590561,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,63.889,1,224.0,1,1.0,4.531,1,3.75,1,0.4,72,1,1.135,1,24,0.436,1,0.00834,1,0.175,0.175,1,1.415,1,12,0,0,0,0.0,0.0,0.0,3281,T13,D_top10_SO_stable,T13
seed_018,4.175127880472412,2.8013108970886536,39.0009888239491,1481.1294783512203,0.0531523794215111,0.0536475626323387,0.0184718699876492,0.1807746492129757,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.52,1,193.0,1,1.25,3.629,1,3.0,1,0.347,74,1,0.836,1,19,0.484,1,0.03733,1,-0.175,0.175,1,2.408,1,10,0,0,0,0.0,0.0,0.0,3299,T13,D_top10_SO_stable,T13
seed_019,3.919206509479815,3.459586283602795,38.74044287891681,1271.5129372971933,0.0490588945505761,0.056042114751252,0.0208044070952597,0.1686169702969091,-0.769231,0,12,0.0,0.0,0.0,0.0,0.0,1,0.0,1,62.867,1,189.0,1,1.0,2.887,1,1.5,1,0.342,69,1,0.714,1,11,0.879,1,0.0138,1,-0.175,0.175,1,1.868,1,11,0,0,0,0.0,0.0,0.0,3305,T13,D_top10_SO_stable,T13
seed_020,4.087895478629221,2.806850960247305,32.78956345899184,1106.1418685330666,0.051788299868722,0.0610623937774442,0.024199428425622,0.1042160487544369,-1.143269,0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,1,59.756,1,268.0,1,1.25,5.259,1,1.75,0,0.531,107,1,1.041,1,23,0.557,1,0.03534,1,2.269,0.873,0,0.895,1,20,1,3,1,3.273,1.091,0.72,4206,"T6,T11",C_top10_T13_positive,"T6,T11"
seed_021,4.153275036636452,2.769559929559503,32.17804820076319,1620.1327085253192,0.0638094772456102,0.0501837560285564,0.0329724222100188,0.1817262977612534,-1.198462,0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,1,61.591,1,230.0,1,1.0,2.72,1,3.5,0,0.558,79,1,1.246,1,32,0.383,1,0.05213,1,0.175,0.175,1,1.898,0,0,1,3,1,3.273,1.091,0.728,2312,"T6,T12",C_top10_T13_positive,"T6,T12"
seed_022,4.163902905834361,2.574047084240932,31.987461302350997,1757.0802671315244,0.0518674151949685,0.0616765575530082,0.0746152281457552,0.1396130767750929,-1.238308,0,11,0.0,0.0,0.0,0.0,0.0,1,0.0,1,50.335,1,183.0,1,1.5,2.014,1,1.75,0,0.651,137,1,0.959,1,19,0.577,1,0.04857,1,2.269,0.873,0,0.824,1,19,1,14,1,15.273,1.091,0.617,998,"T6,T11",C_top10_T13_positive,"T6,T11"
seed_023,4.189993428491272,3.2309555697575942,30.672704768400965,1655.1788626395153,0.0435552906533949,0.0612234942231676,0.0651663759121521,0.166263170929964,-1.457385,0,10,0.0,0.0,0.0,0.0,0.0,1,0.0,1,51.269,1,209.0,1,1.5,2.343,1,0.25,0,0.492,123,0,0.378,1,27,0.413,1,0.006,1,2.269,0.873,0,1.148,1,27,1,9,1,9.818,1.091,0.705,591,"T6,T7,T11",C_top10_T13_positive,"T6,T7,T11"
seed_024,4.176773594983538,2.6163769485225825,33.1701803977407,1403.8570352105642,0.0459456498708824,0.0644226212904809,0.049096490348784,0.1420382156419943,-1.538533,0,9,0.0,0.0,0.0,0.0,0.0,1,0.0,1,54.782,1,198.0,0,1.5,1.32,1,0.25,0,0.597,144,0,0.625,1,27,0.462,1,0.01584,1,2.269,0.873,0,0.881,1,27,1,9,1,9.818,1.091,0.794,4546,"T4,T6,T7,T11",C_top10_T13_positive,"T4,T6,T7,T11"
seed_025,4.320967870385768,2.866903671527852,28.833414059871423,1234.0450805320172,0.0489723443886842,0.0412737010948184,0.0255601798949948,0.0795013236661695,-1.5406,0,9,0.0,0.0,0.0,0.0,0.0,1,0.0,1,60.921,1,312.0,1,1.5,3.961,1,2.75,0,0.707,152,0,0.533,1,17,0.62,1,0.00675,0,-0.175,0.175,0,1.084,1,9,1,4,1,4.364,1.091,0.586,1950,"T6,T7,T10,T11",C_top10_T13_positive,"T6,T7,T10,T11"
seed_026,4.109695639148847,2.6278737016496856,35.35332336138672,1504.5124828622609,0.0469987575320049,0.0557894405882225,0.0677538649394972,0.1302162704749764,-1.880643,0,9,0.0,0.0,0.0,0.0,0.0,1,0.0,1,47.886,1,170.0,0,1.5,0.977,1,0.25,0,0.603,197,0,0.431,1,20,0.538,1,0.00546,1,2.618,0.524,0,1.079,1,20,1,14,2,15.273,2.182,0.655,91,"T4,T6,T7,T11",C_top10_T13_positive,"T4,T6,T7,T11"
seed_027,3.970722406644195,2.900010154738321,29.84996770443769,1488.1983604294564,0.0208252370838377,0.0421638008319379,0.022599969041536,0.1933921592703427,-2.324027,0,9,0.0,0.0,0.0,0.0,0.0,1,0.0,1,49.449,1,208.0,1,1.5,8.103,1,0.25,0,0.513,113,0,0.151,1,21,0.606,0,0.00027,0,1.92,1.222,1,1.248,1,21,1,6,1,6.545,1.091,0.772,362,"T6,T7,T9,T10",C_top10_T13_positive,"T6,T7,T9,T10"
seed_028,3.345885018509723,2.7631362306693363,38.24128784804301,1007.572019608223,0.0525905434749073,0.0464585754754027,0.0331951771816678,0.1483898424227889,-1.726496,0,8,0.0,0.0,0.0,0.0,0.0,1,0.0,1,53.441,1,154.0,0,1.5,0.951,1,2.0,0,0.552,131,0,0.62,1,17,0.645,1,0.02108,0,-0.175,0.175,0,1.155,1,8,1,12,1,13.091,1.091,0.683,539,"T4,T6,T7,T10,T11",C_top10_T13_positive,"T4,T6,T7,T10,T11"
