eval,score,failed_constraint,c_th2ctx,c_ctx2th,T4_q,T6_ibi_cv,T8_n_sp_events,T12_n_verified,T13_n_ctx_events,T13_n_ctx_verified,T13_ctx_verified_density_per_min,shape_r,so_power,thal_spindle_power,ctx_spindle_power
48,-0.421538,T6,0.0293316966877503,0.1318305472764198,3.438,0.548,14,10,2,1,1.091,0.0,0.0,0.0,0.0
148,-0.769231,T13,0.0183269481548095,0.0826698996560287,2.164,0.398,23,9,1,0,0.0,0.0,0.0,0.0,0.0
199,-0.769231,T13,0.0324638927733084,0.123069272315586,3.492,0.389,20,10,6,0,0.0,0.0,0.0,0.0,0.0
287,-0.769231,T13,0.029982733746467,0.1805586919658994,2.567,0.175,17,14,4,0,0.0,0.0,0.0,0.0,0.0
326,-0.769231,T13,0.0189601837776432,0.1290545256304285,2.22,0.308,19,13,0,0,0.0,0.0,0.0,0.0,0.0
531,-0.769231,T13,0.0071026810163418,0.1094527015273016,2.479,0.243,20,13,0,0,0.0,0.0,0.0,0.0,0.0
538,-0.769231,T13,0.0310007101649246,0.0601566632317061,2.308,0.397,17,9,0,0,0.0,0.0,0.0,0.0,0.0
585,-0.769231,T13,0.0208044070952597,0.089479891388354,2.893,0.361,29,8,1,0,0.0,0.0,0.0,0.0,0.0
735,-0.769231,T13,0.0463234544966293,0.1446372344614181,2.695,0.397,13,6,2,0,0.0,0.0,0.0,0.0,0.0
902,-0.769231,T13,0.0178030270342277,0.1411132243252786,2.313,0.391,24,12,0,0,0.0,0.0,0.0,0.0,0.0
938,-0.769231,T13,0.0201849983722642,0.1800480523490328,3.479,0.334,26,16,1,0,0.0,0.0,0.0,0.0,0.0
980,-0.769231,T13,0.0057547901092503,0.1542564513126457,3.107,0.312,27,10,0,0,0.0,0.0,0.0,0.0,0.0
1037,-0.769231,T13,0.0167693321439689,0.1225560807569256,2.46,0.391,20,20,3,0,0.0,0.0,0.0,0.0,0.0
1068,-0.769231,T13,0.022402437300678,0.0770863078300442,2.937,0.371,19,18,3,0,0.0,0.0,0.0,0.0,0.0
1073,-0.769231,T13,0.0205891681564535,0.0809166363505921,3.231,0.398,23,16,2,0,0.0,0.0,0.0,0.0,0.0
1127,-0.769231,T13,0.0215074979696513,0.1398145176508056,3.61,0.366,30,6,4,0,0.0,0.0,0.0,0.0,0.0
1133,-0.769231,T13,0.0219569156230849,0.1039050320355192,3.247,0.384,19,18,1,0,0.0,0.0,0.0,0.0,0.0
