group,metric,count,mean,median,min,q05,q25,q75,q95,max
A_all,c_th2ctx,4960,0.030286687095415602,0.029108160505351102,5.82052640342931e-05,0.008878696933837893,0.02071967160889335,0.03814085156524815,0.057043984489402365,0.0749455629593175
A_all,c_ctx2th,4960,0.13253472516764542,0.1333436846981771,0.0500915834910128,0.06618539174480777,0.10291418624438703,0.1610130045019817,0.199710245689956,0.2198651714743124
A_all,g_LK,4960,0.05109047936524469,0.0516215837459047,0.0200640684226232,0.03827106682398892,0.04922816079341212,0.053801882404327074,0.06200927793487924,0.0699978522050688
A_all,g_h,4960,0.055484214998474196,0.054184968587965,0.0350397735779286,0.0407540873771104,0.0492003877038452,0.0602294819534104,0.073838764479274,0.0948092826260444
A_all,T4_q,4960,3.3280022177419353,3.218,0.022,0.6705500000000002,2.456,4.126250000000001,5.950200000000001,15.352
A_all,T6_ibi_cv,4960,0.5174469758064517,0.518,0.168,0.377,0.464,0.574,0.6510500000000002,0.843
A_all,T13_ctx_verified_density_per_min,4960,0.04376955645161291,0.0,0.0,0.0,0.0,0.0,0.0,13.091
B_T13_pass,c_th2ctx,63,0.05416424932172029,0.0551687048445765,0.022599969041536,0.02761147511052967,0.0471286908240722,0.0648483449128596,0.07304213865840838,0.0746152281457552
B_T13_pass,c_ctx2th,63,0.122422858544283,0.1158793308610433,0.0514880579846334,0.05907624796017645,0.0881831525121181,0.14838973273768113,0.19322627322788127,0.2115876592182776
B_T13_pass,g_LK,63,0.03959526804896337,0.0417924465094605,0.0200640684226232,0.021970436000929728,0.03220829406745845,0.046321536845157454,0.05185950366234385,0.0638094772456102
B_T13_pass,g_h,63,0.0461216720737467,0.0432825255441112,0.0354841862232008,0.0367846076212901,0.0399274749662343,0.050569554012797,0.06120738417859526,0.0644226212904809
B_T13_pass,T4_q,63,0.758920634920635,0.247,0.059,0.0862,0.1565,0.6315,3.366199999999999,8.103
B_T13_pass,T6_ibi_cv,63,0.6406984126984125,0.639,0.492,0.5321,0.575,0.7055,0.7636000000000001,0.808
B_T13_pass,T13_ctx_verified_density_per_min,63,3.4459841269841274,1.091,1.091,1.091,1.091,4.364,10.909,13.091
C_T4_T6_pass,c_th2ctx,375,0.02124102266970707,0.0194658870711598,0.0001752861800167,0.00320840271012009,0.01172598214665455,0.02885495767541895,0.051844936784813264,0.0724378422485791
C_T4_T6_pass,c_ctx2th,375,0.1303648126258641,0.1287645015198923,0.0505744314536804,0.06802448854750903,0.0987846266297155,0.16257193390667102,0.197542736351769,0.2125676653823922
C_T4_T6_pass,g_LK,375,0.051523900422838116,0.0522720530454178,0.02050076516844,0.03056074795244381,0.0481390733346297,0.05539073928525835,0.06769494547038274,0.0694954826721915
C_T4_T6_pass,g_h,375,0.05989307741928753,0.0580895549243591,0.0351168041762331,0.041332766320117356,0.051799722403580356,0.06728034062004995,0.08081999635912039,0.0948092826260444
C_T4_T6_pass,T4_q,375,3.1875146666666674,3.007,2.001,2.1767000000000003,2.5705,3.6734999999999998,4.585500000000001,9.218
C_T4_T6_pass,T6_ibi_cv,375,0.3556133333333334,0.368,0.168,0.266,0.34,0.387,0.39730000000000004,0.4
C_T4_T6_pass,T13_ctx_verified_density_per_min,375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_12of13,c_th2ctx,105,0.02298032694841856,0.0219569156230849,0.0001752861800167,0.00971772594036596,0.0169487256342622,0.0290676789922196,0.03683633990453026,0.0476953712864895
D_12of13,c_ctx2th,105,0.12746060322343886,0.130499362240702,0.0505744314536804,0.07019675064141036,0.0996936953584624,0.1532077264863691,0.18721916114475584,0.2083067568240704
D_12of13,g_LK,105,0.05273414128160679,0.0526647603957755,0.0460234304580808,0.04913057456936342,0.0514075739611871,0.0540181472987425,0.05598533011417522,0.0663559694560084
D_12of13,g_h,105,0.05850687094573929,0.0573008735697057,0.0477723933370986,0.049958142603211755,0.0541626484866638,0.0627600977295986,0.07139717643070628,0.0725409359652493
D_12of13,T4_q,105,3.0410857142857144,2.937,2.042,2.1858,2.575,3.432,4.146599999999999,4.674
D_12of13,T6_ibi_cv,105,0.36130476190476196,0.372,0.175,0.2838,0.347,0.39,0.398,0.548
D_12of13,T13_ctx_verified_density_per_min,105,0.01039047619047619,0.0,0.0,0.0,0.0,0.0,0.0,1.091
E_best_12of13_T6_only,c_th2ctx,1,0.0293316966877503,0.0293316966877503,0.0293316966877503,0.0293316966877503,0.0293316966877503,0.0293316966877503,0.0293316966877503,0.0293316966877503
E_best_12of13_T6_only,c_ctx2th,1,0.1318305472764198,0.1318305472764198,0.1318305472764198,0.1318305472764198,0.1318305472764198,0.1318305472764198,0.1318305472764198,0.1318305472764198
E_best_12of13_T6_only,g_LK,1,0.0512190377789051,0.0512190377789051,0.0512190377789051,0.0512190377789051,0.0512190377789051,0.0512190377789051,0.0512190377789051,0.0512190377789051
E_best_12of13_T6_only,g_h,1,0.053042531693851,0.053042531693851,0.053042531693851,0.053042531693851,0.053042531693851,0.053042531693851,0.053042531693851,0.053042531693851
E_best_12of13_T6_only,T4_q,1,3.438,3.438,3.438,3.438,3.438,3.438,3.438,3.438
E_best_12of13_T6_only,T6_ibi_cv,1,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.548
E_best_12of13_T6_only,T13_ctx_verified_density_per_min,1,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091
