mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,old_score,old_feasible,new_score,new_feasible,n_passed_new,old_T1_min_rE,old_T2_max_rE,old_T3_longest_ms,old_T4_freq,old_T4_q,old_T5_fwhm,old_T6_ibi_cv,old_T6_n_bursts,old_T7_sp_cv,old_T8_n_sp_events,old_T8_mean_sp_dur,old_T9_mi,old_T10_phase,old_T10_dist_to_target,old_T11_lag_ms,old_T12_n_verified,T9_new,T9_mi,T10a_new,T10a_phase_argmax_deg,T10b_new,T10b_concentration,T11_new,T11_up_down_ratio,pac_bimodal,pac_ok,pac_n_so_cycles,shape_r,T4_q,T12_n_verified
3.974470889224735,3.0836402149600537,35.03834862856099,1777.4575077009963,0.0541670693373557,0.0683580800853026,0.0105727412609411,0.1331794059632531,0.712713,True,-10.0,0,10,6.02543684120279e-11,63.7330670162638,215.0,0.75,3.527,2.5,0.345,47,1.391,25,0.55,0.00758,2.746,0.395,-1006.0,16,True,0.005354884411707153,False,90.0,True,0.10348980205098357,False,1.1798678047386983,False,True,40,0.574676,3.527,16
3.822991541146271,2.938327648754957,35.34667195282195,1683.1248458031291,0.0522383340945633,0.0667956078491615,0.0122570584573258,0.1971720083280555,0.705263,True,-10.0,0,9,2.0071061385339847e-10,60.57467128186255,202.0,0.75,3.63,2.5,0.572,58,1.216,28,0.459,0.00971,2.849,0.292,2000.0,18,True,0.005157891082631052,True,-10.000000000000002,False,0.050973837473760206,False,1.175597460257041,True,True,41,0.604026,3.63,18
3.856634392658208,3.141702985354845,35.29779407565585,1641.7723281971494,0.0500959459508581,0.0690294326713425,0.0137267395880167,0.1087932281365581,0.702075,True,-10.0,0,9,6.044667173326159e-11,63.279095723421285,207.0,0.75,3.627,0.5,0.448,51,1.025,25,0.516,0.00439,2.764,0.377,-1282.0,24,False,0.00289973839776435,False,70.0,False,0.05507180616598247,True,1.2181000586848165,True,True,40,0.564149,3.627,24
4.051644770310863,3.183244336434233,34.80924164364489,1683.1248458031291,0.0502383475182772,0.0630384417090634,0.0054946546107257,0.1971720083280555,0.689176,True,-10.0,0,11,2.0959310809511534e-11,63.04783840856176,223.0,0.75,3.872,1.0,0.453,54,0.977,25,0.483,0.03602,-1.462,1.462,1063.0,25,True,0.03773728762260129,True,-10.000000000000002,True,0.32046459904165425,True,2.46774372376651,False,True,42,0.545978,3.872,25
3.901066578923319,3.104447402897512,36.832826825017705,1592.657060797543,0.0532008596056435,0.0680775354910684,0.0037230864045529,0.1404043196723562,0.686052,True,-10.0,0,10,8.29799879205726e-12,65.37833236052847,196.0,0.75,3.717,2.5,0.347,47,1.297,23,0.533,0.00267,3.003,0.139,432.0,19,False,0.00281773912129033,False,110.0,False,0.04255882626843175,True,1.2315381558592855,False,True,40,0.520478,3.717,19
3.974470889224735,3.0836402149600537,35.03834862856099,1777.4575077009963,0.0541670693373557,0.0673390149679954,0.0105727412609411,0.1229264825980157,0.683959,True,0.679272,1,12,3.9878057037701863e-11,62.280696686757594,200.0,0.75,3.645,2.25,0.343,47,1.372,27,0.498,0.0169,1.799,1.343,-1322.0,18,True,0.01289134134807317,True,10.000000000000002,True,0.17691372887722467,True,1.6553497163590856,False,True,40,0.527918,3.645,18
3.840264109162785,3.358828092154395,36.97346335175128,1513.46441884003,0.0491984021387755,0.0585344814115043,0.0077311353976622,0.1352849555643935,0.682267,True,-10.0,0,9,6.9984831728496835e-12,64.62050988630345,192.0,0.75,3.658,0.25,0.382,48,0.765,20,0.628,0.00491,-2.991,0.15,2000.0,20,False,0.0034766121173711107,True,-10.000000000000002,False,0.04623970110898127,False,1.1039625634687207,True,True,40,0.552659,3.658,20
3.9519646419067898,3.440687777366912,36.76445037373334,1625.8057782178123,0.0522612808591826,0.0704164671130382,0.0104062792203378,0.1068325669429533,0.67902,True,-10.0,0,11,2.227482913569886e-11,63.70643973048133,191.0,0.75,3.537,1.75,0.381,48,1.253,25,0.54,0.0068,2.693,0.448,350.0,22,True,0.0051151657888847835,True,10.000000000000002,True,0.09679591344752944,False,1.1754066104219516,True,True,40,0.554415,3.537,22
3.857241801863279,3.0812979303556585,33.286010114591726,1704.4978576678948,0.0534603739827309,0.0702930185957033,0.0164186980180608,0.1649968602853265,0.674145,True,-10.0,0,11,1.4707960766312806e-10,61.268839096606825,229.0,0.75,3.609,1.5,0.519,56,1.294,23,0.598,0.02383,0.021,0.021,-1425.0,18,True,0.0248352481709797,True,10.000000000000002,True,0.24697926295511363,True,2.215873447563674,False,True,41,0.49779,3.609,18
4.110286253097383,3.179880712707765,36.84475306349007,1783.218633897503,0.0507054294190456,0.0644548193513769,0.0052582873897867,0.1317491649282449,0.673467,True,-10.0,0,10,1.463975453204551e-11,64.9731211939054,189.0,0.75,3.757,2.0,0.463,53,1.07,22,0.529,0.00784,-2.999,0.142,-1441.0,19,True,0.006201899655479083,True,10.000000000000002,False,0.07312330296711902,True,1.413829647711285,False,True,41,0.512059,3.757,19
4.001580214636161,3.47818390227616,33.255573354987284,1554.70979438719,0.0542489519645126,0.0677416799071073,0.0171388401890879,0.1138795494016685,0.666887,True,-10.0,0,11,2.824601341213e-11,63.15630256191383,239.0,0.75,3.77,2.5,0.451,55,1.321,26,0.529,0.01425,2.24,0.902,-1245.0,13,True,0.012087067420452327,True,10.000000000000002,True,0.13797964541098845,True,1.3101405183896397,True,True,42,0.529732,3.77,13
3.7310904661757287,2.831885211390569,38.18132855354332,1623.3137681823478,0.0515969080288871,0.0660985362988823,0.0159552479562608,0.1763657969051539,0.666328,True,-10.0,0,11,8.879207577669803e-10,58.91686866433214,182.0,0.75,3.038,2.0,0.434,53,1.157,26,0.484,0.01608,1.737,1.405,-1195.0,24,True,0.015798454745245053,True,10.000000000000002,True,0.19705034917072672,True,1.5090726826457068,False,True,43,0.594907,3.038,24
3.983718648931693,2.977119791899355,33.78301379372626,1691.5930039186935,0.053896231251606,0.068581416325504,0.011900809746261,0.104437421813683,0.662619,True,-10.0,0,11,2.4835381534387926e-10,61.70584126420445,206.0,0.75,3.788,2.0,0.485,58,1.339,26,0.526,0.01031,-2.531,0.611,852.0,19,True,0.00653600810232167,True,10.000000000000002,True,0.08477239819170665,True,1.3565514068049693,True,True,43,0.485989,3.788,19
